category,id,rule,code,motsam,title,updated,heading,dimensions,colours,files,local
General advisory,646,A41-4,AX12,none,Railway level crossing railway not in use (Railway not in use),24 November 2016,Railway level crossing railway not in use,a 900 b 450 c 60 d 25 e 10 r 50 Legend 120C,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga02-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga02-02-nolabels.gif,Original EPS/General advisory/ga02-02.eps | Original EPS/General advisory/ga02-02-nolabels.gif
General advisory,647,A45-2,AH1R,IG-5,"Heavy vehicles bypass, arrow pointing right (Right)",28 May 2019,"Heavy vehicles bypass, arrow pointing right",Legend 120D r 60 h 10 g 40 f 600 e 55 d 125 c 75 b 900 a 900 Arrow Type A,Legend and border black Background reflectorised white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1R.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1R.png,Original EPS/General advisory/AH1R.eps | Original EPS/General advisory/AH1R.png
General advisory,648,A45-2,AH1L,IG-5,"Heavy vehicles bypass, arrow pointing left (Left)",28 May 2019,"Heavy vehicles bypass, arrow pointing left",Legend 120D r 60 h 10 g 25 f 600 e 55 d 125 c 75 b 900 a 900 Arrow Type A,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1L.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1L.png,Original EPS/General advisory/AH1L.eps | Original EPS/General advisory/AH1L.png
General advisory,649,A45-1,AH1A,IG-4,"Heavy vehicles bypass ahead, 200 m (200 m)",28 May 2019,"Heavy vehicles bypass ahead, 200 m",Numerals 120D 1st 3 lines 120D r 60 f 10 e 25 d 80 c 75 b 900 a 900 `m` Transport medium NZ `x` height 80mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1A-200.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1A-200.png,Original EPS/General advisory/AH1A-200.eps | Original EPS/General advisory/AH1A-200.png
General advisory,650,A45-1,AH1A,IG-4,"Heavy vehicles bypass ahead, 300 m (300 m)",28 May 2019,"Heavy vehicles bypass ahead, 300 m",a 900 b 900 c 75 d 80 e 25 f 10 r 60 1st 3 lines 120D Numerals 120D `m` Transport medium NZ `x` height 80mm,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1a-300.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/AH1a-300.png,Original EPS/General advisory/AH1a-300.eps | Original EPS/General advisory/AH1a-300.png
General advisory,651,A45-5,AH21,IG-17,Heavy vehicles No engine braking next 4 km (Next 4 km),28 May 2019,Heavy vehicles No engine braking next 4 km,1st and 3rd lines 100E r 90 g 20 f 30 e 120 d 100 c 120 b 900 a 1500 `m` Transport medium NZ `x` height 60mm `No` and `Next` 120E,Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga03-02-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga03-02-01-nolabels.gif,Original EPS/General advisory/ga03-02-01.eps | Original EPS/General advisory/ga03-02-01-nolabels.gif
General advisory,652,A42-1,none,IG-6,Passing Lane Ahead 200m large (Large),24 November 2016,Passing Lane Ahead 200m large,"1st, 2nd and 4th lines 160E r 100 g 10 f 40 e 125 c 100 d 125 `200` 200E b 1500 a 1500 `m` Transport medium NZ `x` height 135mm",Legend and border black Background reflectorised white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-01-01-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-01-01-02-nolabels.gif,Original EPS/General advisory/ga04-01-01-02.eps | Original EPS/General advisory/ga04-01-01-02-nolabels.gif
General advisory,653,A42-1,AP12,IG-6,Passing Lane Ahead 200 m small (Small),17 February 2017,Passing Lane Ahead 200 m small,"`200` 150E 1st, 2nd and 4th lines 120E r 80 g 10 f 40 e 100 d 90 c 70 b 1200 a 1200 `m` Transport medium NZ `x` height 100mm",Background reflectorised white Legend and border black,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-01-01-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-01-01-01-nolabels.gif,Original EPS/General advisory/ga04-01-01-01.eps | Original EPS/General advisory/ga04-01-01-01-nolabels.gif
General advisory,654,A42-1.1,AP11,IG-6.1,Passing Lane Ahead 1 km,24 November 2016,Passing Lane Ahead 1 km,"`1` 200E 1st, 2nd and 4th lines 160E r 100 g 10 f 40 e 100 c 100 d 125 b 1500 a 1500 `km` Transport medium NZ `x` height 135mm",Legend and border black Background reflectorised white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-02-01.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-02-01-nolabels.gif,Original EPS/General advisory/ga04-02-01.eps | Original EPS/General advisory/ga04-02-01-nolabels.gif
General advisory,655,A42-1.1,AP11,IG-6.1,Passing Lane Ahead 2 km,24 November 2016,Passing Lane Ahead 2 km,"1st, 2nd and 4th lines 160E r 100 g 10 f 40 e 100 d 125 c 100 b 1500 a 1500 `2` 200E `km` Transport medium NZ `x` height 135mm",Legend and border black Background reflectorised white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-02-02.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/ga04-02-02-nolabels.gif,Original EPS/General advisory/ga04-02-02.eps | Original EPS/General advisory/ga04-02-02-nolabels.gif
