code,name,family,file,size,notes,source
TC9700,INSTRUCTION SIGN,Bridge,INSTRUCTION_SIGN_TC9700.svg,1100x1585 mm,size from the drawing's overall width dimension (1100 mm); type: INSTRUCTION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9700.pdf
TC9942,REGULATORY SIGN,Bridge,REGULATORY_SIGN_TC9942.svg,1596x1406 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; type: REGULATORY SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9942.pdf
TC9943,SUPPLEMENTARY PLATE,Bridge,SUPPLEMENTARY_PLATE_TC9943.svg,2500x801 mm,size from the drawing's overall width dimension (2500 mm); type: SUPPLEMENTARY PLATE,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9943.pdf
TC9966,ONE LANE INBOUND ON BRIDGE,Bridge,ONE_LANE_INBOUND_ON_BRIDGE_TC9966.svg,1100x624 mm,size from the drawing's overall width dimension (1100 mm); type: INSTRUCTION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9966.pdf
TC9979,SCHEDULING BRIDGE REPAIRS,Bridge,SCHEDULING_BRIDGE_REPAIRS_TC9979.svg,3000x1302 mm,size from the drawing's overall width dimension (3000 mm); type: TEMPORARY ADVISORY SIGN FOR,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9979.pdf
TC9979,SCHEDULING BRIDGE REPAIRS,Bridge,SCHEDULING_BRIDGE_REPAIRS_VAR2_TC9979.svg,106x684 mm,no size found on the sheet; drawn at 1:10 — check; type: TEMPORARY ADVISORY SIGN FOR,Original PDFs/TC signs/TC Signs_June 2026/bridge/tc9979.pdf
TC1871,BUSWAY - NO ENTRY AUTHORISED BUSES EXCEPTED,Bus,BUSWAY_NO_ENTRY_AUTHORISED_BUSES_EXCEPTED_TC1871.svg,600x1557 mm,"size from the sheet's dimension table, first row (a = 600, b = 1750); other rows are size variants not produced; type: BUSWAY SIGN",Original PDFs/TC signs/TC Signs_June 2026/bus/TC1871.pdf
TC1917,BUSWAY AUTHORISED BUSES ONLY,Bus,BUSWAY_AUTHORISED_BUSES_ONLY_TC1917.svg,1800x1398 mm,size from the drawing's overall width dimension (1800 mm); type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/TC1917.pdf
TC1917,BUSWAY AUTHORISED BUSES ONLY,Bus,BUSWAY_AUTHORISED_BUSES_ONLY_VAR2_TC1917.svg,634x172 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; type: INFORMATION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/TC1917.pdf
TC1958,UNAUTHORISED VEHICLES MUST EXIT,Bus,UNAUTHORISED_VEHICLES_MUST_EXIT_TC1958.svg,1300x371 mm,"size from the sheet's dimension table, first row (a = 1300, b = 350); other rows are size variants not produced; type: BUSWAY GUIDE SIGN",Original PDFs/TC signs/TC Signs_June 2026/bus/TC1958.pdf
TC1959,UNAUTHORISED VEHICLES MUST EXIT ...km AHEAD,Bus,UNAUTHORISED_VEHICLES_MUST_EXIT_KM_AHEAD_TC1959.svg,700x889 mm,"size from the sheet's dimension table, first row (a = 700, b = 900); other rows are size variants not produced; type: BUSWAY INFORMATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/bus/TC1959.pdf
TC1072,BUS STOP SIGN,Bus,BUS_STOP_SIGN_TC1072.svg,751x1126 mm,no size found on the sheet; drawn at 1:10 — check; type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/Tc1072.pdf
TC1059,BUSWAY IDENTIFICATION SIGN,Bus,BUSWAY_IDENTIFICATION_SIGN_TC1059.svg,450x562 mm,"size from the sheet's dimension table, first row (a = 450, b = 550); other rows are size variants not produced; type: BUSWAY IDENTIFICATION SIGN",Original PDFs/TC signs/TC Signs_June 2026/bus/tc1059.pdf
TC1121,START PROHIBITION,Bus,START_PROHIBITION_TC1121.svg,900x1099 mm,"size from the sheet's dimension table, first row (a = 900, b = 1100); other rows are size variants not produced; type: BUS STANDING PASSENGER",Original PDFs/TC signs/TC Signs_June 2026/bus/tc1121.pdf
TC1122,END PROHIBITION,Bus,END_PROHIBITION_TC1122.svg,900x1099 mm,"size from the sheet's dimension table, first row (a = 900, b = 1100); other rows are size variants not produced; type: BUS STANDING PASSENGER",Original PDFs/TC signs/TC Signs_June 2026/bus/tc1122.pdf
TC1123,PROHIBITION SIGN REPEATER SIGN,Bus,PROHIBITION_SIGN_REPEATER_SIGN_TC1123.svg,900x900 mm,"size from the sheet's dimension table, first row (a = 900); other rows are size variants not produced; type: BUS STANDING PASSENGER",Original PDFs/TC signs/TC Signs_June 2026/bus/tc1123.pdf
TC1159,BUS STOP SIGN,Bus,BUS_STOP_SIGN_TC1159.svg,300x450 mm,size from the drawing's overall height dimension (450 mm); type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1159.pdf
TC1232,PEDESTRIAN ACCESS TO BUS STOP,Bus,PEDESTRIAN_ACCESS_TO_BUS_STOP_TC1232.svg,450x700 mm,size from the drawing's overall width dimension (450 mm); type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1232.pdf
TC1251,BUS STOP SIGN,Bus,BUS_STOP_SIGN_TC1251.svg,300x450 mm,size from the drawing's overall height dimension (450 mm); type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1251.pdf
TC1252,‘DREAMWORLD SHUTTLE’,Bus,DREAMWORLD_SHUTTLE_TC1252.svg,300x450 mm,size from the drawing's overall height dimension (450 mm); type: BUS STOP SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1252.pdf
TC1374,SCHOOL BUS ON RANGE MON TO FRI,Bus,SCHOOL_BUS_ON_RANGE_MON_TO_FRI_TC1374.svg,1300x1099 mm,size from the drawing's overall width dimension (1300 mm); type: WARNING SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1374.pdf
TC1503,BUSES STOP HERE ON RED SIGNAL,Bus,BUSES_STOP_HERE_ON_RED_SIGNAL_TC1503.svg,450x900 mm,size from the drawing's overall width dimension (450 mm); type: TRAFFIC INSTRUCTION SIGN,Original PDFs/TC signs/TC Signs_June 2026/bus/tc1503.pdf
