code,title,section,family,vector_set,eps,jpg,svg
442-30,"KFZ mit einer zulässigen Gesamtmasse über 3,5 t - im Kreisverkehr geradeausweisend",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-442/442-30.eps,,KFZ_MIT_EINER_ZULAESSIGEN_GESAMTMASSE_UEBER_3_5_T_IM_KREISVERKEHR_GERA_442-30.svg
442-31,Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - im Kreisverkehr geradeausweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-442/442-31.eps,,KENNZEICHNUNGSPFLICHTIGE_FAHRZEUGE_MIT_GEFAEHRLICHEN_GUETERN_IM_KREISV_442-31.svg
442-32,Fahrzeuge mit wassergefährdender Ladung - im Kreisverkehr geradeausweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-442/442-32.eps,,FAHRZEUGE_MIT_WASSERGEFAEHRDENDER_LADUNG_IM_KREISVERKEHR_GERADEAUSWEIS_442-32.svg
442-33,Radverkehr - im Kreisverkehr geradeausweisend,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/Z-442/442-33.eps,,RADVERKEHR_IM_KREISVERKEHR_GERADEAUSWEISEND_442-33.svg
442-50,"KFZ mit einer zulässigen Gesamtmasse über 3,5 t - ohne Pfeilsymbol",Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,442-50.jpg,
442-51,Kennzeichnungspflichtige Fahrzeuge mit gefährlichen Gütern - ohne Pfeilsymbol,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,442-51.jpg,
442-52,Fahrzeuge mit wassergefährdender Ladung - ohne Pfeilsymbol,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,442-52.jpg,
442-53,Radverkehr - ohne Pfeilsymbol,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,442-53.jpg,
448,Ankündigungstafel,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),Vz2017,Vz2017/448/448.eps,448-AK.jpg;448.jpg,ANKUENDIGUNGSTAFEL_448.svg
448-50,Ankündigungstafel - auf anderen Straßen außerhalb von Autobahnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,448-50.jpg,
448.1,Autohof,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,448.1.jpg,
449,Vorwegweiser auf Autobahnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,449.jpg,
449-50,Vorwegweiser - auf anderen Straßen außerhalb von Autobahnen,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,449-50.jpg,
450,Ankündigungsbake,Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,,
450-50,Ankündigungsbake - einstreifig (100 m),Richtzeichen nach Anlage 3 (zu § 42 Absatz 2 StVO),Richtzeichen (guide),,,450-50.jpg,
