code,title,section,family,vector_set,eps,jpg,svg
101,Gefahrstelle,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),Musterdateien,Musterdateien/eps/101.EPS,101.jpg,GEFAHRSTELLE_101.svg
101-10,Flugbetrieb - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-10.jpg,
101-11,Fußgängerüberweg - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-11.jpg,
101-12,Viehtrieb - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-12.jpg,
101-13,Reiter - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-13.jpg,
101-14,Amphibienwanderung - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-14.jpg,
101-15,Steinschlag - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-15.jpg,
101-20,Flugbetrieb - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-20.jpg,
101-21,Fußgängerüberweg - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-21.jpg,
101-22,Viehtrieb - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-22.jpg,
101-23,Reiter - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-23.jpg,
101-24,Amphibienwanderung - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-24.jpg,
101-25,Steinschlag - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-25.jpg,
101-51,Schnee- oder Eisglätte,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-51.jpg,
101-52,"Splitt, Schotter",Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-52.jpg,
101-53,Ufer,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-53.jpg,
101-54,Unzureichendes Lichtraumprofil,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-54.jpg,
101-55,Bewegliche Brücke,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,101-55.jpg,
102,Kreuzung oder Einmündung,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,102.jpg,
103,Kurve,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
103-10,Kurve - links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,103-10.jpg,
103-20,Kurve - rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,103-20.jpg,
105,Doppelkurve,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
105-10,Doppelkurve - zunächst links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,105-10.jpg,
105-20,Doppelkurve - zunächst rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,105-20.jpg,
108,Gefälle,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
108-4,Gefälle 4%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-4.jpg,
108-5,Gefälle 5%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-5.jpg,
108-6,Gefälle 6%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-6.jpg,
108-7,Gefälle 7%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-7.jpg,
108-8,Gefälle 8%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-8.jpg,
108-9,Gefälle 9%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-9.jpg,
108-10,Gefälle 10%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-10.jpg,
108-11,Gefälle 11%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-11.jpg,
108-12,Gefälle 12%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-12.jpg,
108-13,Gefälle 13%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-13.jpg,
108-14,Gefälle 14%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-14.jpg,
108-15,Gefälle 15%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-15.jpg,
108-16,Gefälle 16%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-16.jpg,
108-17,Gefälle 17%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-17.jpg,
108-18,Gefälle 18%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-18.jpg,
108-19,Gefälle 19%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-19.jpg,
108-20,Gefälle 20%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-20.jpg,
108-21,Gefälle 21%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-21.jpg,
108-22,Gefälle 22%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-22.jpg,
108-23,Gefälle 23%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-23.jpg,
108-24,Gefälle 24%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-24.jpg,
108-25,Gefälle 25%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,108-25.jpg,
110,Steigung,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
110-4,Steigung 4%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-4.jpg,
110-5,Steigung 5%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-5.jpg,
110-6,Steigung 6%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-6.jpg,
110-7,Steigung 7%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-7.jpg,
110-8,Steigung 8%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-8.jpg,
110-9,Steigung 9%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-9.jpg,
110-10,Steigung 10%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-10.jpg,
110-11,Steigung 11%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-11.jpg,
110-12,Steigung 12%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-12.jpg,
110-13,Steigung 13%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-13.jpg,
110-14,Steigung 14%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-14.jpg,
110-15,Steigung 15%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-15.jpg,
110-16,Steigung 16%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-16.jpg,
110-17,Steigung 17%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-17.jpg,
110-18,Steigung 18%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-18.jpg,
110-19,Steigung 19%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-19.jpg,
110-20,Steigung 20%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-20.jpg,
110-21,Steigung 21%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-21.jpg,
110-22,Steigung 22%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-22.jpg,
110-23,Steigung 23%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-23.jpg,
110-24,Steigung 24%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-24.jpg,
110-25,Steigung 25%,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,110-25.jpg,
112,Unebene Fahrbahn,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,112.jpg,
114,Schleuder- oder Rutschgefahr,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,114.jpg,
117,Seitenwind,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
117-10,Seitenwind von rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,117-10.jpg,
117-20,Seitenwind von links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,117-20.jpg,
120,Verengte Fahrbahn,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,120.jpg,
121,Einseitig verengte Fahrbahn,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
121-10,Einseitig verengte Fahrbahn - Verengung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,121-10.jpg,
121-20,Einseitig verengte Fahrbahn - Verengung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,121-20.jpg,
123,Arbeitsstelle,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,123.jpg,
124,Stau,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,124.jpg,
125,Gegenverkehr,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,125.jpg,
131,Lichtzeichenanlage,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,131.jpg,
133,Fußgänger,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
133-10,Fußgänger - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,133-10.jpg,
133-20,Fußgänger - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,133-20.jpg,
136,Kinder,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
136-10,Kinder - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,136-10.jpg,
136-20,Kinder - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,136-20.jpg,
138,Radverkehr,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
138-10,Radverkehr - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,138-10.jpg,
138-20,Radverkehr - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,138-20.jpg,
142,Wildwechsel,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
142-10,Wildwechsel - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,142-10.jpg,
142-20,Wildwechsel - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,142-20.jpg,
151,Bahnübergang,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,151.jpg,
156,Bahnübergang mit dreistreifiger Bake,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
156-10,Bahnübergang mit dreistreifiger Bake - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,156-10.jpg,
156-11,Bahnübergang mit dreistreifiger Bake mit Entfernungsangabe - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,156-11.jpg,
156-20,Bahnübergang mit dreistreifiger Bake - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,156-20.jpg,
156-21,Bahnübergang mit dreistreifiger Bake mit Entfernungsangabe - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,156-21.jpg,
157,Dreistreifige Bake,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
157-10,Dreistreifige Bake - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,157-10.jpg,
157-11,Dreistreifige Bake mit Entfernungsangabe - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,157-11.jpg,
157-20,Dreistreifige Bake - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,157-20.jpg,
157-21,Dreistreifige Bake mit Entfernungsangabe - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,157-21.jpg,
159,Zweistreifige Bake,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
159-10,Zweistreifige Bake - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,159-10.jpg,
159-11,Zweistreifige Bake mit Entfernungsangabe - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,159-11.jpg,
159-20,Zweistreifige Bake - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,159-20.jpg,
159-21,Zweistreifige Bake mit Entfernungsangabe - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,159-21.jpg,
162,Einstreifige Bake,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,,
162-10,Einstreifige Bake - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,162-10.jpg,
162-11,Einstreifige Bake mit Entfernungsangabe - Aufstellung rechts,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,162-11.jpg,
162-20,Einstreifige Bake - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,162-20.jpg,
162-21,Einstreifige Bake mit Entfernungsangabe - Aufstellung links,Gefahrzeichen nach Anlage 1 (zu § 40 Absatz 6 und 7 StVO),Gefahrzeichen (warning),,,162-21.jpg,
201,Andreaskreuz,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
201-50,Andreaskreuz - stehend,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,201-50.jpg,
201-51,Andreaskreuz - stehend mit Blitzpfeil,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,201-51.jpg,
201-52,Andreaskreuz - liegend,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,201-52.jpg,
201-53,Andreaskreuz - liegend mit Blitzpfeil,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,201-53.jpg,
205,Vorfahrt gewähren,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,205.jpg,
206,Halt. Vorfahrt gewähren,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,206.jpg,
208,Vorrang des Gegenverkehrs,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,208.jpg,
209,Vorgeschriebene Fahrtrichtung - rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,209.jpg,
209-10,Vorgeschriebene Fahrtrichtung - links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,209-10.jpg,
209-30,Vorgeschriebene Fahrtrichtung - geradeaus,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,209-30.jpg,
211,Vorgeschriebene Fahrtrichtung - hier rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,211.jpg,
211-10,Vorgeschriebene Fahrtrichtung - hier links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,211-10.jpg,
214,Vorgeschriebene Fahrtrichtung - geradeaus oder rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,214.jpg,
214-10,Vorgeschriebene Fahrtrichtung - geradeaus oder links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,214-10.jpg,
214-30,Vorgeschriebene Fahrtrichtung - rechts oder links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,214-30.jpg,
215,Kreisverkehr,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,215.jpg,
220,Einbahnstraße,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
220-10,Einbahnstraße - linksweisend,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,220-10.jpg,
220-20,Einbahnstraße - rechtsweisend,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,220-20.jpg,
220-40,Einbahnstraße - doppelseitig (-10/ -20),Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
222,Vorgeschriebene Vorbeifahrt - rechts vorbei,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,222.jpg,
222-10,Vorgeschriebene Vorbeifahrt - links vorbei,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,222-10.jpg,
223.1,Seitenstreifen befahren,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
223.1-50,Seitenstreifen befahren - 2 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.1-50.jpg,
223.1-51,Seitenstreifen befahren - 3 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.1-51.jpg,
223.1-52,Seitenstreifen befahren - 4 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.1-52.jpg,
223.2,Seitenstreifen nicht mehr befahren,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
223.2-50,Seitenstreifen nicht mehr befahren - 2 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.2-50.jpg,
223.2-51,Seitenstreifen nicht mehr befahren - 3 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.2-51.jpg,
223.2-52,Seitenstreifen nicht mehr befahren - 4 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.2-52.jpg,
223.3,Seitenstreifen räumen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
223.3-50,Seitenstreifen räumen - 2 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.3-50.jpg,
223.3-51,Seitenstreifen räumen - 3 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.3-51.jpg,
223.3-52,Seitenstreifen räumen - 4 Fahrstreifen + Seitenstreifen,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,223.3-52.jpg,
224,Haltestelle,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,224.jpg,
224-40,Haltestelle - doppelseitig,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
224-41,Schulbushaltestelle - doppelseitig,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,,
224-51,Schulbushaltestelle,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,224-51.jpg,
229,Taxenstand,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229.jpg,
229-10,Taxenstand - Anfang - Aufstellung rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-10.jpg,
229-11,Taxenstand - Ende - Aufstellung links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-11.jpg,
229-20,Taxenstand - Ende - Aufstellung rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-20.jpg,
229-21,Taxenstand - Anfang - Aufstellung links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-21.jpg,
229-30,Taxenstand - Mitte - Aufstellung rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-30.jpg,
229-31,Taxenstand - Mitte - Aufstellung links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),,,229-31.jpg,
230,Ladebereich,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),Vz2017,Vz2017/Z-230/230.eps,,LADEBEREICH_230.svg
230-10,Ladebereich - Anfang - Aufstellung rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),Vz2017,Vz2017/Z-230/230-10.eps,,LADEBEREICH_ANFANG_AUFSTELLUNG_RECHTS_230-10.svg
230-11,Ladebereich - Ende - Aufstellung links,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),Vz2017,Vz2017/Z-230/230-11.eps,,LADEBEREICH_ENDE_AUFSTELLUNG_LINKS_230-11.svg
230-20,Ladebereich - Ende - Aufstellung rechts,Vorschriftzeichen nach Anlage 2 (zu § 41 Absatz 1 StVO),Vorschriftzeichen (regulatory),Vz2017,Vz2017/Z-230/230-20.eps,,LADEBEREICH_ENDE_AUFSTELLUNG_RECHTS_230-20.svg
