category,series,node,title,code,size,summary,type,updated,files,local
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200331-0085 - Bush fires ahead,MR-TAW-26,1500x750,"Size: 1500 x 750, Refer to Drawing MR-TAW-26",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f51c/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200331-0085.pdf | https://www.mainroads.wa.gov.au/49f5f5/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-26.dwg | https://www.mainroads.wa.gov.au/4a9ba1/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-26.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200331-0085.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-26.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200531-0029 - Cyclists,MR-TAW-27,900x600,"Size: 900 x 600, Refer to Drawing MR-TAW-27",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f52d/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200531-0029.pdf | https://www.mainroads.wa.gov.au/49f5e2/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-27.dwg | https://www.mainroads.wa.gov.au/4a9bb8/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-27.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200531-0029.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-27.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200531-0030 - Runners,MR-TAW-28,900x600,"Size: 900 x 600, Refer to Drawing MR-TAW-28",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f515/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200531-0030.pdf | https://www.mainroads.wa.gov.au/49f5f3/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-28.dwg | https://www.mainroads.wa.gov.au/4a9bab/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-28.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200531-0030.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-28.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200531-0031 - Wheel barrow race,MR-TAW-29,900x600,"Size: 900 x 600, Refer to Drawing MR-TAW-29",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f523/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200531-0031.pdf | https://www.mainroads.wa.gov.au/49f607/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-29.dwg | https://www.mainroads.wa.gov.au/4a9bdf/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-29.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200531-0031.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-29.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200531-0032 - Event ahead,MR-TAW-30,1200x600,"Size: 1200 x 600, Refer to Drawing MR-TAW-30",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f52f/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200531-0032.pdf | https://www.mainroads.wa.gov.au/49f5f6/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-30.dwg | https://www.mainroads.wa.gov.au/4a9bd0/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-30.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200531-0032.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-30.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200531-0045 - Pedestrians,MR-TAW-31,900x600,"Size: 900 x 600, Refer to Drawing MR-TAW-31",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f53d/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200531-0045.pdf | https://www.mainroads.wa.gov.au/49f608/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-31.dwg | https://www.mainroads.wa.gov.au/4a9bec/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-31.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200531-0045.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-31.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200631-0009 - Bridgework ahead low clearance,MR-TAW-13,2200x1040,"Size: 2200 x 1040, Refer to Drawing MR-TAW-13",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f525/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200631-0009.pdf | https://www.mainroads.wa.gov.au/49f5b9/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-13.dwg | https://www.mainroads.wa.gov.au/4a9b38/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-13.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200631-0009.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-13.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200731-0021 - Farm machinery,MR-TAW-32,1200x600,"Size: 1200 x 600, Refer to Drawing MR-TAW-32",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f533/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200731-0021.pdf | https://www.mainroads.wa.gov.au/49f619/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-32.dwg | https://www.mainroads.wa.gov.au/4a9c01/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-32.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200731-0021.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-32.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200731-0060 - Power line works in progress,MR-TAW-33,1200x900,"Size: 1200 x 900, Refer to Drawing MR-TAW-33",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f542/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200731-0060.pdf | https://www.mainroads.wa.gov.au/49f62a/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-33.dwg | https://www.mainroads.wa.gov.au/4a9bf3/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-33.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200731-0060.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-33.dwg
Temporary Signs,Advance Warning Signs (MR-TAW),9575,200931-0092 - Event on side road,MR-TAW-34,1800x600,"Size: 1800 x 600, Refer to Drawing MR-TAW-34",PDF,16 July 2020,https://www.mainroads.wa.gov.au/49f54f/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/200931-0092.pdf | https://www.mainroads.wa.gov.au/49f619/globalassets/technical-commercial/technical-library/signs-index/temporary-signs/advance-warning-signs-mr-taw/mr-taw-34.dwg | https://www.mainroads.wa.gov.au/4a9c09/globalassets/images/sign-thumbnails/temporary/advance-warning/mr-taw-34.gif,Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/200931-0092.pdf | Original PDFs/Temporary Signs/Advance Warning Signs MR-TAW/mr-taw-34.dwg
