category,series,node,title,code,size,summary,type,updated,files,local
Australian Standard Signs,Australian Standard - Regulatory Signs,20383,202131-0079 – Supplementary end speed limit area midblock,,600x200,"Size: 600 x 200, Refer to Drawing R4-13",PDF,9 November 2021,https://www.mainroads.wa.gov.au/49e755/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/202131-0079.pdf | https://www.mainroads.wa.gov.au/49e765/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/r4-13.dwg | https://www.mainroads.wa.gov.au/4ab761/globalassets/images/sign-thumbnails/regulatory/australian-standard/r4-13.png,Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/202131-0079.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/r4-13.dwg
Australian Standard Signs,Australian Standard - Regulatory Signs,20383,R4-13 – Supplementary end speed limit area midblock,,600x200,"Size: 600 x 200, Refer to Drawing 202131-0079",Other,9 November 2021,https://www.mainroads.wa.gov.au/49e765/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/r4-13.dwg | https://www.mainroads.wa.gov.au/49e755/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-regulatory-signs/202131-0079.pdf | https://www.mainroads.wa.gov.au/4ab761/globalassets/images/sign-thumbnails/regulatory/australian-standard/r4-13.png,Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/r4-13.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Regulatory Signs/202131-0079.pdf
Australian Standard Signs,Australian Standard - Warning Signs,14022,201431-0008 - Pedestrian Signal Ahead,,600x600,"Size: 600 x 600, refer to W3-3",PDF,13 October 2020,https://www.mainroads.wa.gov.au/49e778/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/201431-0008-pedestrian-signal-ahead.pdf | https://www.mainroads.wa.gov.au/49e775/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w3-3-pedestrian-signal-ahead.dwg | https://www.mainroads.wa.gov.au/4a9c49/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w3-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/201431-0008-pedestrian-signal-ahead.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w3-3-pedestrian-signal-ahead.dwg
Australian Standard Signs,Australian Standard - Warning Signs,14022,202031-0003 - On Side Road Supplementary Plate,,750x500,"Size: 750 x 500, Refer to W8-3",PDF,13 October 2020,https://www.mainroads.wa.gov.au/49e764/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/202031-0003-on-side-road-supplementary-plate.pdf | https://www.mainroads.wa.gov.au/49e788/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w8-3-on-side-road-supplementary-plate.dwg | https://www.mainroads.wa.gov.au/4a9c42/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w8-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/202031-0003-on-side-road-supplementary-plate.pdf | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w8-3-on-side-road-supplementary-plate.dwg
Australian Standard Signs,Australian Standard - Warning Signs,14022,W3-3 - Pedestrian Signal Ahead,,600x600,"Size: 600 x 600, refer to 201431-0008",Other,13 October 2020,https://www.mainroads.wa.gov.au/49e775/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w3-3-pedestrian-signal-ahead.dwg | https://www.mainroads.wa.gov.au/49e778/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/201431-0008-pedestrian-signal-ahead.pdf | https://www.mainroads.wa.gov.au/4a9c49/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w3-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w3-3-pedestrian-signal-ahead.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/201431-0008-pedestrian-signal-ahead.pdf
Australian Standard Signs,Australian Standard - Warning Signs,14022,W8-3 - On Side Road Supplementary Plate,,750x500,"Size: 750 x 500, Refer to 202031-0003",Other,13 October 2020,https://www.mainroads.wa.gov.au/49e788/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/w8-3-on-side-road-supplementary-plate.dwg | https://www.mainroads.wa.gov.au/49e764/globalassets/technical-commercial/technical-library/signs-index/australian-standard-signs/australian-standard-warning-signs/202031-0003-on-side-road-supplementary-plate.pdf | https://www.mainroads.wa.gov.au/4a9c42/globalassets/images/sign-thumbnails/warning/australian-standard-warning/w8-3.png,Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/w8-3-on-side-road-supplementary-plate.dwg | Original PDFs/Australian Standard Signs/Australian Standard - Warning Signs/202031-0003-on-side-road-supplementary-plate.pdf
Category 2 Signs,Category 2 - Guide Signs,10854,Category 2 - Guide Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,31 July 2025,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-guide-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10854,
Category 2 Signs,Category 2 - Hazard Markers,10856,Category 2 - Hazard Markers,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-hazard-markers/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10856,
Category 2 Signs,Category 2 - Multi Message Signs,10861,Category 2 - Multi Message Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-multi-message-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10861,
Category 2 Signs,Category 2 - Regulatory Signs,10852,Category 2 - Regulatory Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-regulatory-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10852,
Category 2 Signs,Category 2 - Service Signs,10857,Category 2 - Service Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,26 March 2024,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-service-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10857,
Category 2 Signs,Category 2 - Temporary Signs,10855,Category 2 - Temporary Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-temporary-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10855,
Category 2 Signs,Category 2 - Tourist Signs,10858,Category 2 - Tourist Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,20 July 2020,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-tourist-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10858,
Category 2 Signs,Category 2 - Warning Signs,10853,Category 2 - Warning Signs,,,This category contains signs that are currently in use and will only be supported in the future until such time as all existing signs have been removed or replaced under normal maintenance arrangement,Webpage,11 February 2026,https://www.mainroads.wa.gov.au/technical-commercial/technical-library/signs-index/cat-2-signs/category-2-warning-signs/??q=&take=50&page=1&sectionFilter=731&sort=atoz&nodeid=10853,
Electronic Signs,Electronic Guide Signs,33797,202231-000024 – General Speed Limit,MR-EGT-1,600x1100,"Size: 600 x 1100, Refer to Drawing MR-EGT-1",PDF,16 May 2023,https://www.mainroads.wa.gov.au/49e7d8/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-guide-signs/202231-000024-general-speed-limit-pdf.pdf | https://www.mainroads.wa.gov.au/49e7c3/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-guide-signs/mr-egt-1-general-speed-limit-dwg.dwg,Original PDFs/Electronic Signs/Electronic Guide Signs/202231-000024-general-speed-limit-pdf.pdf | Original PDFs/Electronic Signs/Electronic Guide Signs/mr-egt-1-general-speed-limit-dwg.dwg
Electronic Signs,Electronic Guide Signs,33797,MR-EGT-1 – General Speed Limit,MR-EGT-1,600x1100,"Size: 600 x 1100, Refer to Drawing 202231-000024",Other,16 May 2023,https://www.mainroads.wa.gov.au/49e7c3/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-guide-signs/mr-egt-1-general-speed-limit-dwg.dwg | https://www.mainroads.wa.gov.au/49e7d8/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-guide-signs/202231-000024-general-speed-limit-pdf.pdf,Original PDFs/Electronic Signs/Electronic Guide Signs/mr-egt-1-general-speed-limit-dwg.dwg | Original PDFs/Electronic Signs/Electronic Guide Signs/202231-000024-general-speed-limit-pdf.pdf
Electronic Signs,Electronic Ramp Control Series,34629,202331-000036 - Freeway Closed,,900x600,"Size: 900 x 600, Refer to Drawing MR-RC1-3",PDF,20 June 2023,https://www.mainroads.wa.gov.au/49e819/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000036-freeway-closed-pdf.pdf | https://www.mainroads.wa.gov.au/49e8bb/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-3-freeway-closed-dwg.dwg | https://www.mainroads.wa.gov.au/49bed3/globalassets/images/sign-thumbnails/electronic/mr-rc1-3-freeway-closed.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000036-freeway-closed-pdf.pdf | Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-3-freeway-closed-dwg.dwg
Electronic Signs,Electronic Ramp Control Series,34629,202331-000037 - No Entry,,900x600,"Size: 900 x 600, Refer to Drawing MR-RC1-6",PDF,20 June 2023,https://www.mainroads.wa.gov.au/49e806/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000037-no-entry-pdf.pdf | https://www.mainroads.wa.gov.au/49e8d2/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-6-no-entry-dwg.dwg | https://www.mainroads.wa.gov.au/49be9c/globalassets/images/sign-thumbnails/electronic/mr-rc1-6-no-entry.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000037-no-entry-pdf.pdf | Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-6-no-entry-dwg.dwg
Electronic Signs,Electronic Ramp Control Series,34629,202331-000038 - No Left Turn,,900x600,"Size: 900 x 600, Refer to Drawing MR-RC1-5",PDF,20 June 2023,https://www.mainroads.wa.gov.au/49e822/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000038-no-left-turn-pdf.pdf | https://www.mainroads.wa.gov.au/49e8be/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-5-no-left-turn-dwg.dwg | https://www.mainroads.wa.gov.au/49bed7/globalassets/images/sign-thumbnails/electronic/mr-rc1-5-no-left-turn.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000038-no-left-turn-pdf.pdf | Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-5-no-left-turn-dwg.dwg
Electronic Signs,Electronic Ramp Control Series,34629,202331-000039 - No Right Turn,,900x600,"Size: 900 x 600, Refer to Drawing MR-RC1-4",PDF,20 June 2023,https://www.mainroads.wa.gov.au/49e833/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000039-no-right-turn-pdf.pdf | https://www.mainroads.wa.gov.au/49e8e7/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-4-no-right-turn-dwg.dwg | https://www.mainroads.wa.gov.au/49bf1e/globalassets/images/sign-thumbnails/electronic/mr-rc1-4-no-right-turn.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000039-no-right-turn-pdf.pdf | Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-4-no-right-turn-dwg.dwg
Electronic Signs,Electronic Ramp Control Series,34629,202331-000040 - Ramp Signals On,,900x600,"Size: 900 x 600, Refer to Drawing MR-RC1-1",PDF,20 June 2023,https://www.mainroads.wa.gov.au/49e81c/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000040-ramp-signals-on-pdf.pdf | https://www.mainroads.wa.gov.au/49e8ab/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-1-ramp-signals-on-dwg.dwg | https://www.mainroads.wa.gov.au/49e830/globalassets/images/sign-thumbnails/electronic/mr-rc1-1-ramp-signals-on.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000040-ramp-signals-on-pdf.pdf | Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-1-ramp-signals-on-dwg.dwg
Electronic Signs,Electronic Ramp Control Series,34629,MR-RC1-1 - Ramp Signals On,,900x600,"Size: 900 x 600, Refer to Drawing 202331-000040",Other,20 June 2023,https://www.mainroads.wa.gov.au/49e8ab/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-1-ramp-signals-on-dwg.dwg | https://www.mainroads.wa.gov.au/49e81c/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000040-ramp-signals-on-pdf.pdf | https://www.mainroads.wa.gov.au/49e830/globalassets/images/sign-thumbnails/electronic/mr-rc1-1-ramp-signals-on.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-1-ramp-signals-on-dwg.dwg | Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000040-ramp-signals-on-pdf.pdf
Electronic Signs,Electronic Ramp Control Series,34629,MR-RC1-3 - Freeway Closed,,900x600,"Size: 900 x 600, Refer to Drawing 202331-000036",Other,20 June 2023,https://www.mainroads.wa.gov.au/49e8bb/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-3-freeway-closed-dwg.dwg | https://www.mainroads.wa.gov.au/49e819/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000036-freeway-closed-pdf.pdf | https://www.mainroads.wa.gov.au/49bed3/globalassets/images/sign-thumbnails/electronic/mr-rc1-3-freeway-closed.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-3-freeway-closed-dwg.dwg | Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000036-freeway-closed-pdf.pdf
Electronic Signs,Electronic Ramp Control Series,34629,MR-RC1-4 - No Right Turn,,900x600,"Size: 900 x 600, Refer to Drawing 202331-000039",Other,20 June 2023,https://www.mainroads.wa.gov.au/49e8e7/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-4-no-right-turn-dwg.dwg | https://www.mainroads.wa.gov.au/49e833/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000039-no-right-turn-pdf.pdf | https://www.mainroads.wa.gov.au/49bf1e/globalassets/images/sign-thumbnails/electronic/mr-rc1-4-no-right-turn.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-4-no-right-turn-dwg.dwg | Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000039-no-right-turn-pdf.pdf
Electronic Signs,Electronic Ramp Control Series,34629,MR-RC1-5 - No Left Turn,,900x600,"Size: 900 x 600, Refer to Drawing 202331-000038",Other,20 June 2023,https://www.mainroads.wa.gov.au/49e8be/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-5-no-left-turn-dwg.dwg | https://www.mainroads.wa.gov.au/49e822/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000038-no-left-turn-pdf.pdf | https://www.mainroads.wa.gov.au/49bed7/globalassets/images/sign-thumbnails/electronic/mr-rc1-5-no-left-turn.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-5-no-left-turn-dwg.dwg | Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000038-no-left-turn-pdf.pdf
Electronic Signs,Electronic Ramp Control Series,34629,MR-RC1-6 - No Entry,,900x600,"Size: 900 x 600, Refer to Drawing 202331-000037",Other,20 June 2023,https://www.mainroads.wa.gov.au/49e8d2/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/mr-rc1-6-no-entry-dwg.dwg | https://www.mainroads.wa.gov.au/49e806/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-ramp-control-series/202331-000037-no-entry-pdf.pdf | https://www.mainroads.wa.gov.au/49be9c/globalassets/images/sign-thumbnails/electronic/mr-rc1-6-no-entry.png,Original PDFs/Electronic Signs/Electronic Ramp Control Series/mr-rc1-6-no-entry-dwg.dwg | Original PDFs/Electronic Signs/Electronic Ramp Control Series/202331-000037-no-entry-pdf.pdf
Electronic Signs,Electronic Warning Signs,33803,202231-000021 – Slow Down,MR-EWDAX-1,919x525,"Size: 919 x 525, Refer to Drawing MR-EWDAX-1",PDF,16 May 2023,https://www.mainroads.wa.gov.au/49e7e0/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000021-slow-down-pdf.pdf | https://www.mainroads.wa.gov.au/49e7fe/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdax-1-slow-down-dwg.dwg,Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000021-slow-down-pdf.pdf | Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdax-1-slow-down-dwg.dwg
Electronic Signs,Electronic Warning Signs,33803,202231-000022 – Stop Sign Ahead,MR-EWDAD-1,815x815,"Size: 815 x 815, Refer to Drawing MR-EWDAD-1",PDF,16 May 2023,https://www.mainroads.wa.gov.au/49e7f0/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000022-stop-sign-ahead-pdf.pdf | https://www.mainroads.wa.gov.au/49e7ed/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdad-1-stop-sign-ahead-dwg.dwg,Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000022-stop-sign-ahead-pdf.pdf | Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdad-1-stop-sign-ahead-dwg.dwg
Electronic Signs,Electronic Warning Signs,33803,202231-000023 – Give Way Sign Ahead,MR-EWDAX-2,815x815,"Size: 815 x 815, Refer to Drawing MR-EWDAX-2",PDF,16 May 2023,https://www.mainroads.wa.gov.au/49e7dd/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000023-give-way-sign-ahead-pdf.pdf | https://www.mainroads.wa.gov.au/49e80f/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdax-2-give-way-sign-ahead-dwg.dwg,Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000023-give-way-sign-ahead-pdf.pdf | Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdax-2-give-way-sign-ahead-dwg.dwg
Electronic Signs,Electronic Warning Signs,33803,MR-EWDAD-1 – Stop Sign Ahead,MR-EWDAD-1,815x815,"Size: 815 x 815, Refer to Drawing 202231-000022",Other,16 May 2023,https://www.mainroads.wa.gov.au/49e7ed/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdad-1-stop-sign-ahead-dwg.dwg | https://www.mainroads.wa.gov.au/49e7f0/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000022-stop-sign-ahead-pdf.pdf,Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdad-1-stop-sign-ahead-dwg.dwg | Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000022-stop-sign-ahead-pdf.pdf
Electronic Signs,Electronic Warning Signs,33803,MR-EWDAX-1 – Slow Down,MR-EWDAX-1,919x525,"Size: 919 x 525, Refer to Drawing 202231-000021",Other,16 May 2023,https://www.mainroads.wa.gov.au/49e7fe/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdax-1-slow-down-dwg.dwg | https://www.mainroads.wa.gov.au/49e7e0/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000021-slow-down-pdf.pdf,Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdax-1-slow-down-dwg.dwg | Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000021-slow-down-pdf.pdf
Electronic Signs,Electronic Warning Signs,33803,MR-EWDAX-2 – Give Way Sign Ahead,MR-EWDAX-2,815x815,"Size: 815 x 815, Refer to Drawing 202231-000023",Other,16 May 2023,https://www.mainroads.wa.gov.au/49e80f/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/mr-ewdax-2-give-way-sign-ahead-dwg.dwg | https://www.mainroads.wa.gov.au/49e7dd/globalassets/technical-commercial/technical-library/signs-index/electronic-signs/electronic-warning-signs/202231-000023-give-way-sign-ahead-pdf.pdf,Original PDFs/Electronic Signs/Electronic Warning Signs/mr-ewdax-2-give-way-sign-ahead-dwg.dwg | Original PDFs/Electronic Signs/Electronic Warning Signs/202231-000023-give-way-sign-ahead-pdf.pdf
Guide Signs,Cycling Series (MR-GC),9192,200631-0010 - Cyclists only (signal pole sticker),MR-GC-1,120x150,"Size: 120 x 150, Refer to Drawing MR-GC-1",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e906/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200631-0010.pdf | https://www.mainroads.wa.gov.au/49e979/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-1.dwg | https://www.mainroads.wa.gov.au/4a74a8/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-1.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200631-0010.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-1.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0024 - Bicycle route marker,MR-GC-16,600x450,"Size: 600 x 450, Refer to Drawing MR-GC-16",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e915/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0024.pdf | https://www.mainroads.wa.gov.au/49e993/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-16.dwg | https://www.mainroads.wa.gov.au/4a74d5/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-16.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0024.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-16.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0025 - Bicycle route marker supplementary plate,MR-GC-17A,600x120,"Size: 600 x 120, Refer to Drawing MR-GC-17A",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e925/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0025.pdf | https://www.mainroads.wa.gov.au/49e9a2/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-17a.dwg | https://www.mainroads.wa.gov.au/4a74f7/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-17a.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0025.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-17a.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0026 - Bicycle route marker supplementary plate,MR-GC-17B,600x200,"Size: 600 x 200, Refer to Drawing MR-GC-17B",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e935/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0026.pdf | https://www.mainroads.wa.gov.au/49e9b1/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-17b.dwg | https://www.mainroads.wa.gov.au/4a74fe/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-17b.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0026.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-17b.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0027 - Bicycle route marker supplementary plate,MR-GC-18A,600x225,"Size: 600 x 225, Refer to Drawing MR-GC-18A",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e921/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0027.pdf | https://www.mainroads.wa.gov.au/49e9c3/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-18a.dwg | https://www.mainroads.wa.gov.au/4a74fb/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-18a.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0027.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-18a.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0028 - Bicycle route marker supplementary plate,MR-GC-18B,600x300,"Size: 600 x 300, Refer to Drawing MR-GC-18B",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e931/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0028.pdf | https://www.mainroads.wa.gov.au/49e9ae/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-18b.dwg | https://www.mainroads.wa.gov.au/4a7526/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-18b.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0028.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-18b.dwg
Guide Signs,Cycling Series (MR-GC),9192,200731-0029 - Bicycle route marker supplementary plate,MR-GC-18C,600x400,"Size: 600 x 400, Refer to Drawing MR-GC-18C",PDF,15 July 2020,https://www.mainroads.wa.gov.au/49e943/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/200731-0029.pdf | https://www.mainroads.wa.gov.au/49e9c0/globalassets/technical-commercial/technical-library/signs-index/guide-signs/cycling-series-mr-gc/mr-gc-18c.dwg | https://www.mainroads.wa.gov.au/4a754d/globalassets/images/sign-thumbnails/guide/cycling/mr-gc-18c.gif,Original PDFs/Guide Signs/Cycling Series MR-GC/200731-0029.pdf | Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-18c.dwg
