sign_no,description,title,standard,council,legislation,reference,references2,notes,plan,image,pdf,local,slug
r7-1-1-1n,Bus Lane Ahead,R7-1-1-1n - Bus Lane Ahead,Yes,Yes – available .,NSW Road Rule 154,"AS 1742.12 (Bus, Transit and Truck Lanes)",,-,Bus Lane Ahead sign design plan Published 15 Jun 2023 PDF 176.66 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-1-1-1n.gif?itok=OZibWBr0,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-1-1-1n.pdf,Original PDFs/r7-1-1-1n.pdf,r7-1-1-1n-bus-lane-ahead
R7-11-2,Crossing Arrow (Left),R7-11-2 - Crossing Arrow (Left),Yes,Yes – available .,NA,"AS1742.12 (Bus, Transit, Tram and Truck Lanes)",,Not Used in NSW,Crossing Arrow (Left) sign design plan Published 15 Jun 2023 PDF 192.65 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-11-2.gif?itok=_pcWCI2L,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-11-2.pdf,Original PDFs/r7-11-2.pdf,r7-11-2-crossing-arrow-left
R6-8,Stop/Slow bat (Stop Face) & Stop railway Gate sign,R6-8 - Stop/Slow bat (Stop Face) & Stop railway Gate sign,Yes,Yes – available .,"NSW Road Rules 80, 101",AS 1742.2 (Devices),AS1742-3 Traffic Control for Works on Roads AS1742-7 Railway Crossings Secondary Technical References Traffic Control at Worksites (Roads and Maritime Services ),The STOP/SLOW bat is a double sided hand held sign with a SLOW banner (T7-1B) on one side and a STOP banner (R6-8B) on the other. R6-8C & R6-8D Stop Sign to be used at Railway Gates,Stop/Slow bat (Stop Face) & Stop railway Gate sign sign design plan Published 15 Jun 2023 PDF 239.94 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-8.gif?itok=LzFnWl3Y,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-8.pdf,Original PDFs/r6-8.pdf,r6-8-stopslow-bat-stop-face-stop-railway-gate-sign
R7-11-1,Crossing Arrow (Both Ways),R7-11-1 - Crossing Arrow (Both Ways),Yes,Yes – available .,NA,"AS1742.12 (Bus, Transit, Tram and Truck Lanes)",,-,Crossing Arrow (Both Ways) sign design plan Published 15 Jun 2023 PDF 194.03 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-11-1.gif?itok=ICltep2r,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-11-1.pdf,Original PDFs/r7-11-1.pdf,r7-11-1-crossing-arrow-both-ways
R6-5n,End Load Limit,R6-5n - End Load Limit,No,Yes – available .,NSW Road Rules 103,AS1742.2 (Devices),,-,End Load Limit sign design plan Published 15 Jun 2023 PDF 178.75 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r6-5n.gif?itok=R6Tel_T1,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r6-5n.pdf,Original PDFs/r6-5n.pdf,r6-5n-end-load-limit
T6-232-2n,Width Markers For Truck Mounted Linemarking Vehicles,T6-232-2n - Width Markers For Truck Mounted Linemarking Vehicles,No,Yes - available.,NA,-,,"Chevrons alternately black and Cl.1 white reflectorised. Vehicle Mounted Use Only Marker panel to be hinged so that marker will fold around mirror if struck by passing vehicle, or when linemarking not in operation",Width Marker For Truck Mounted Linemarking Vehicles sign design plan Published 15 Jun 2023 PDF 225.88 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-232-2n.gif?itok=fofp1ql4,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-232-2n.pdf,Original PDFs/t6-232-2n.pdf,t6-232-2n-width-markers-for-truck-mounted-linemarking
T6-232-1n,Width Markers For Articulated Linemarking Vehicles,T6-232-1n - Width Markers For Articulated Linemarking Vehicles,No,Yes - available.,NA,-,,"Chevrons alternately black and Cl.1 white reflectorised. Vehicle Mounted Use Only. Outer panel to be hinged to fold in if struck by passing vehicle, or when linemarking not in operation",Width Markers For Articulated Linemarking Vehicles sign design plan Published 15 Jun 2023 PDF 219.26 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/t6-232-1n.gif?itok=ayRqRp3Y,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/t6-232-1n.pdf,Original PDFs/t6-232-1n.pdf,t6-232-1n-width-markers-for-articulated-linemarking
R7-225n,Transit Lane (T2 - repeater) (Times as required),R7-225n Transit Lane (T2 - repeater) (Times as required),No,Yes – available .,ARR 156,"AS 1742.12 (Bus, Transit and Truck Lanes)",Delineation (RTA) - Section 9 Situation Diagram R7-225n is used with any permissible parking sign.,Cl.1 white reflectorised 'T2' on Cl.1 red reflectorised patch. Only approved times and days to be used.,Transit Lane (T2 - repeater) (Times as required) - r7-225 sign design plan Published 15 Jun 2023 PDF 99.79 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-225.gif?itok=YpGXILwf,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-225.pdf,Original PDFs/r7-225.pdf,r7-225n-transit-lane-t2-repeater-times-as-required
R7-3(R),Right Lane (Supplementary Plate),R7-3(R) - Right Lane (Supplementary Plate),Yes,Yes – available .,NA,"AS 1742.12 (Bus, Transit and Truck Lanes) Secondary Technical References",,-,Right Lane (Supplementary Plate) - r7-3_r sign design plan Published 15 Jun 2023 PDF 203.88 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-3_r.gif?itok=P6qKm4aq,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-3_r.pdf,Original PDFs/r7-3_r.pdf,r7-3r-right-lane-supplementary-plate
R7-3(L),Left Lane (Supplementary Plate),R7-3(L) - Left Lane (Supplementary Plate),Yes,Yes – available .,NA,"AS 1742.12 (Bus, Transit and Truck Lanes) Secondary Technical References",,-,Left Lane (Supplementary Plate) - r7-3_l sign design plan Published 15 Jun 2023 PDF 201.99 KB,/sites/default/files/styles/content_mobile_1x/public/media/images/rww/business-industry/partners-suppliers/signage/trafficsigns/images/r7-3_l.gif?itok=5-sxlT0c,https://www.transport.nsw.gov.au/sites/default/files/media/documents/rww//business-industry/partners-suppliers/signage/trafficsigns/pdf/r7-3_l.pdf,Original PDFs/r7-3_l.pdf,r7-3l-left-lane-supplementary-plate
