code,name,family,file,edition,drawn_size,notes
D10-3,REFERENCE LOCATION (3 DIGITS),Guide Signs,REFERENCE_LOCATION_3_DIGITS_D10-3.svg,2024 Edition,10.0x35.9 in,size 10 in: conventional-road row for D10-3 in the 2004/2012 sheets (2024 table has no marker)
D10-3a,INTERMEDIATE REFERENCE LOCATION (4 DIGITS),Guide Signs,INTERMEDIATE_REFERENCE_LOCATION_4_DIGITS_D10-3a.svg,2024 Edition,6.0x28.7 in,"size 6 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D10-4,ENHANCED REFERENCE LOCATION,Guide Signs,ENHANCED_REFERENCE_LOCATION_D10-4.svg,2024 Edition,12.0x29.9 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D10-5,INTERMEDIATE ENHANCED REFERENCE LOCATION,Guide Signs,INTERMEDIATE_ENHANCED_REFERENCE_LOCATION_D10-5.svg,2024 Edition,12.0x35.9 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
D11-1,BIKE ROUTE,Guide Signs,BIKE_ROUTE_D11-1.svg,2024 Edition,24.0x18.0 in,size 24 in: conventional-road row for D11-1 in the 2004/2012 sheets (2024 table has no marker)
D11-10a,SHARED-USE PATH DESTINATION (1 LINE),Guide Signs,SHARED_USE_PATH_DESTINATION_1_LINE_D11-10a.svg,2024 Edition,43.2x7.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-10b,SHARED-USE PATH DESTINATION (2 LINES),Guide Signs,SHARED_USE_PATH_DESTINATION_2_LINES_D11-10b.svg,2024 Edition,43.2x15.8 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-10c,SHARED-USE PATH DESTINATION (3 LINES),Guide Signs,SHARED_USE_PATH_DESTINATION_3_LINES_D11-10c.svg,2024 Edition,43.2x23.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-10d,SHARED-USE PATH DESTINATION AND DISTANCE (1 LINE),Guide Signs,SHARED_USE_PATH_DESTINATION_AND_DISTANCE_1_LINE_D11-10d.svg,2024 Edition,43.2x7.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-10e,SHARED-USE PATH DESTINATION AND DISTANCE (2 LINES),Guide Signs,SHARED_USE_PATH_DESTINATION_AND_DISTANCE_2_LINES_D11-10e.svg,2024 Edition,43.2x14.5 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-10f,SHARED-USE PATH DESTINATION AND DISTANCE (3 LINES),Guide Signs,SHARED_USE_PATH_DESTINATION_AND_DISTANCE_3_LINES_D11-10f.svg,2024 Edition,43.2x21.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
D11-11,BICYCLES DIRECTIONAL,Guide Signs,BICYCLES_DIRECTIONAL_D11-11.svg,2024 Edition,18.0x18.0 in,
D11-12,PEDESTRIANS DIRECTIONAL,Guide Signs,PEDESTRIANS_DIRECTIONAL_D11-12.svg,2024 Edition,18.0x18.0 in,
D11-13,SKATERS DIRECTIONAL,Guide Signs,SKATERS_DIRECTIONAL_D11-13.svg,2024 Edition,18.0x18.0 in,
D11-14,EQUESTRIANS DIRECTIONAL,Guide Signs,EQUESTRIANS_DIRECTIONAL_D11-14.svg,2024 Edition,18.0x18.0 in,
D11-1a,BICYCLE GUIDE,Guide Signs,BICYCLE_GUIDE_D11-1a.svg,2012 Supplement,18.0x18.0 in,scale from the drawing's overall width dimension (18.0 in)
D11-1bP,BIKE ROUTE (PLAQUE),Guide Signs,BIKE_ROUTE_PLAQUE_D11-1bP.svg,2024 Edition,18.0x6.0 in,
D11-1c,BIKE ROUTE WITH DESTINATION,Guide Signs,BIKE_ROUTE_WITH_DESTINATION_D11-1c.svg,2024 Edition,24.0x18.0 in,
D11-2,PEDESTRIAN GUIDE,Guide Signs,PEDESTRIAN_GUIDE_D11-2.svg,2012 Supplement,18.0x18.0 in,scale from the drawing's overall width dimension (18.0 in)
D11-20L,BICYCLE LEFT TURN MAY USE TURN BOX,Guide Signs,BICYCLE_LEFT_TURN_MAY_USE_TURN_BOX_D11-20L.svg,2024 Edition,12.0x18.0 in,
D11-20R,BICYCLE RIGHT TURN MAY USE TURN BOX,Guide Signs,BICYCLE_RIGHT_TURN_MAY_USE_TURN_BOX_D11-20R.svg,2024 Edition,12.0x18.0 in,
D11-20aL,"BICYCLE LEFT TURN BOX (WITH ARROW, OBLIQUE)",Guide Signs,BICYCLE_LEFT_TURN_BOX_WITH_ARROW_OBLIQUE_D11-20aL.svg,2024 Edition,12.0x18.0 in,
