code,name,family,file,edition,drawn_size,notes
G20-1,ROAD WORK NEXT XX MILES,Temporary Traffic Control Signs,ROAD_WORK_NEXT_XX_MILES_G20-1.svg,2024 Edition,36.0x18.0 in,"size 36 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
G20-2,END ROAD WORK,Temporary Traffic Control Signs,END_ROAD_WORK_G20-2.svg,2024 Edition,36.0x18.0 in,"size 36 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
G20-4,PILOT CAR FOLLOW ME,Temporary Traffic Control Signs,PILOT_CAR_FOLLOW_ME_G20-4.svg,2024 Edition,36.0x18.0 in,
G20-5aP,WORK ZONE (PLAQUE),Temporary Traffic Control Signs,WORK_ZONE_PLAQUE_G20-5aP.svg,2024 Edition,24.0x18.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
I-11,RECYCLING,Guide Signs,RECYCLING_I-11.svg,2004 Edition,30.0x49.0 in,scale from the drawing's overall width dimension (30.0 in)
I-12,LIGHT RAIL STATION,Guide Signs,LIGHT_RAIL_STATION_I-12.svg,2004 Edition,18.0x18.0 in,size 18 in: conventional-road row for I-12 in the 2004/2012 sheets (2024 table has no marker)
I-13,GRADE CROSSING EMERGENCY NOTIFICATION,Guide Signs,GRADE_CROSSING_EMERGENCY_NOTIFICATION_I-13.svg,2012 Supplement,15.0x9.0 in,scale from the drawing's overall width dimension (15.0 in)
I-13a,EMERGENCY NOTIFICATION,Guide Signs,EMERGENCY_NOTIFICATION_I-13a.svg,2004 Edition,30.0x17.3 in,scale from the drawing's overall width dimension (30.0 in)
I-2,STATE LINE,Guide Signs,STATE_LINE_I-2.svg,2004 Edition,24.4x18.0 in,scale from the drawing's overall height dimension (18.0 in)
I-3,BRAZOS RIVER,Guide Signs,BRAZOS_RIVER_I-3.svg,2004 Edition,24.4x18.0 in,scale from the drawing's overall height dimension (18.0 in)
I-5,AIRPORT,Guide Signs,AIRPORT_I-5.svg,2004 Edition,18.0x18.0 in,size 18 in: conventional-road row for I-5 in the 2004/2012 sheets (2024 table has no marker)
I-6,BUS STATION,Guide Signs,BUS_STATION_I-6.svg,2004 Edition,18.0x18.0 in,size 18 in: conventional-road row for I-6 in the 2004/2012 sheets (2024 table has no marker)
I-7,TRAIN STATION,Guide Signs,TRAIN_STATION_I-7.svg,2004 Edition,18.0x18.0 in,size 18 in: conventional-road row for I-7 in the 2004/2012 sheets (2024 table has no marker)
I-8,LIBRARY,Guide Signs,LIBRARY_I-8.svg,2004 Edition,18.0x18.0 in,size 18 in: conventional-road row for I-8 in the 2004/2012 sheets (2024 table has no marker)
I-8p,LIBRARY,Guide Signs,LIBRARY_I-8p.svg,2004 Edition,18.0x8.5 in,size 18 in: conventional-road row for I-8p in the 2004/2012 sheets (2024 table has no marker)
I-9,VEHICLE FERRY TERMINAL,Guide Signs,VEHICLE_FERRY_TERMINAL_I-9.svg,2012 Supplement,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I1-1,TRAFFIC SIGNAL SPEED,Guide Signs,TRAFFIC_SIGNAL_SPEED_2_I1-1.svg,2024 Edition,24.0x36.0 in,same code and name as page 107 but a different drawing; suffixed
I13-2,PUSH TO EXIT,Guide Signs,PUSH_TO_EXIT_I13-2.svg,2024 Edition,18.0x9.0 in,
I2-1,JURISDICTIONAL BOUNDARY,Guide Signs,JURISDICTIONAL_BOUNDARY_I2-1.svg,2024 Edition,43.2x26.0 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I2-2,GEOGRAPHICAL FEATURE,Guide Signs,GEOGRAPHICAL_FEATURE_I2-2.svg,2024 Edition,43.2x28.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I2-3,GRADE SEPARATION IDENTIFICATION,Guide Signs,GRADE_SEPARATION_IDENTIFICATION_I2-3.svg,2024 Edition,43.2x17.3 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I2-3a,GRADE SEPARATION IDENTIFICATION (2 LINES),Guide Signs,GRADE_SEPARATION_IDENTIFICATION_2_LINES_I2-3a.svg,2024 Edition,43.2x21.6 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I2-4,FUTURE INTERSTATE CORRIDOR,Guide Signs,FUTURE_INTERSTATE_CORRIDOR_I2-4.svg,2024 Edition,54.0x36.0 in,"size 54 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
I2-4a,FUTURE I-XX CORRIDOR,Guide Signs,FUTURE_I_XX_CORRIDOR_I2-4a.svg,2024 Edition,48.0x36.0 in,"size 48 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
I20-4,ACKNOWLEDGMENT - REST AREA,Guide Signs,ACKNOWLEDGMENT_REST_AREA_I20-4.svg,2024 Edition,43.2x28.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I20-4a,ACKNOWLEDGMENT - WELCOME CENTER,Guide Signs,ACKNOWLEDGMENT_WELCOME_CENTER_I20-4a.svg,2024 Edition,43.2x28.9 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
I3-10,PASSENGERS ONLY FERRY TERMINAL,Guide Signs,PASSENGERS_ONLY_FERRY_TERMINAL_I3-10.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I3-10P,FERRY (PLAQUE),Guide Signs,FERRY_PLAQUE_I3-10P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
I3-5,AIRPORT,Guide Signs,AIRPORT_I3-5.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I3-6,BUS STATION,Guide Signs,BUS_STATION_I3-6.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I3-7,TRAIN STATION,Guide Signs,TRAIN_STATION_I3-7.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I3-8,LIGHT RAIL TRANSIT STATION,Guide Signs,LIGHT_RAIL_TRANSIT_STATION_I3-8.svg,2024 Edition,24.0x24.0 in,
I3-9,VEHICLE FERRY TERMINAL,Guide Signs,VEHICLE_FERRY_TERMINAL_I3-9.svg,2024 Edition,30.0x30.0 in,size 30 in: no conventional-road marker in the table and no earlier edition of this code; 30 in diamond chosen — check
I4-1,LIBRARY,Guide Signs,LIBRARY_I4-1.svg,2024 Edition,24.0x24.0 in,
I4-2,RECYCLING CENTER,Guide Signs,RECYCLING_CENTER_I4-2.svg,2024 Edition,30.0x36.0 in,
M1-1,"INTERSTATE ROUTE (1, 2 DIGITS)",Route Markers,INTERSTATE_ROUTE_1_2_DIGITS_M1-1.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for M1-1 in the 2004/2012 sheets (2024 table has no marker)
M1-1,INTERSTATE ROUTE (3 DIGITS),Route Markers,INTERSTATE_ROUTE_3_DIGITS_M1-1.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-10,EISENHOWER INTERSTATE SYSTEM,Route Markers,EISENHOWER_INTERSTATE_SYSTEM_M1-10.svg,2024 Edition,36.0x36.0 in,
M1-10a,EISENHOWER INTERSTATE SYSTEM,Route Markers,EISENHOWER_INTERSTATE_SYSTEM_M1-10a.svg,2024 Edition,36.0x36.0 in,
M1-1a,"INTERSTATE ROUTE-INDEPENDENT ROUTE ASSEMBLY USE (1, 2 DIGITS)",Route Markers,INTERSTATE_ROUTE_INDEPENDENT_ROUTE_ASSEMBLY_USE_1_2_DIGITS_M1-1a.svg,2024 Edition,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-1a,INTERSTATE ROUTE-INDEPENDENT ROUTE ASSEMBLY USE (3 DIGITS),Route Markers,INTERSTATE_ROUTE_INDEPENDENT_ROUTE_ASSEMBLY_USE_3_DIGITS_M1-1a.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-2,"OFF-INTERSTATE ROUTE - LOOP (1, 2 DIGITS)",Route Markers,OFF_INTERSTATE_ROUTE_LOOP_1_2_DIGITS_M1-2.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for M1-2 in the 2004/2012 sheets (2024 table has no marker)
M1-2,OFF-INTERSTATE ROUTE - LOOP (3 DIGITS),Route Markers,OFF_INTERSTATE_ROUTE_LOOP_3_DIGITS_M1-2.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-3,"OFF-INTERSTATE ROUTE - SPUR (1, 2 DIGITS)",Route Markers,OFF_INTERSTATE_ROUTE_SPUR_1_2_DIGITS_M1-3.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for M1-3 in the 2004/2012 sheets (2024 table has no marker)
M1-3,OFF-INTERSTATE ROUTE - SPUR (3 DIGITS),Route Markers,OFF_INTERSTATE_ROUTE_SPUR_3_DIGITS_M1-3.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-4,"U.S. ROUTE - GUIDE SIGN USE (1, 2 DIGITS)",Route Markers,U_S_ROUTE_GUIDE_SIGN_USE_1_2_DIGITS_M1-4.svg,2024 Edition,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-4,U.S. ROUTE - GUIDE SIGN USE (3 DIGITS),Route Markers,U_S_ROUTE_GUIDE_SIGN_USE_3_DIGITS_M1-4.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-4,"U.S. ROUTE - INDEPENDENT ROUTE ASSEMBLY USE (1, 2 DIGITS)",Route Markers,U_S_ROUTE_INDEPENDENT_ROUTE_ASSEMBLY_USE_1_2_DIGITS_M1-4.svg,2024 Edition,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-4,U.S. ROUTE - INDEPENDENT ROUTE ASSEMBLY USE (3 DIGITS),Route Markers,U_S_ROUTE_INDEPENDENT_ROUTE_ASSEMBLY_USE_3_DIGITS_M1-4.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-5,"STATE ROUTE - GUIDE SIGN USE (1, 2 DIGITS)",Route Markers,STATE_ROUTE_GUIDE_SIGN_USE_1_2_DIGITS_M1-5.svg,2024 Edition,33.9x33.9 in,size 24 in: conventional-road row for M1-5 in the 2004/2012 sheets (2024 table has no marker)
M1-5,STATE ROUTE - GUIDE SIGN USE (3 DIGITS),Route Markers,STATE_ROUTE_GUIDE_SIGN_USE_3_DIGITS_M1-5.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-5,"STATE ROUTE - INDEPENDENT ASSEMBLY USE (1, 2 DIGITS)",Route Markers,STATE_ROUTE_INDEPENDENT_ASSEMBLY_USE_1_2_DIGITS_M1-5.svg,2024 Edition,24.0x24.0 in,size 24 in: conventional-road row for M1-5 in the 2004/2012 sheets (2024 table has no marker)
M1-5,STATE ROUTE - INDEPENDENT ASSEMBLY USE (3 DIGITS),Route Markers,STATE_ROUTE_INDEPENDENT_ASSEMBLY_USE_3_DIGITS_M1-5.svg,2024 Edition,30.0x24.0 in,"size 30 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-6,COUNTY ROUTE,Route Markers,COUNTY_ROUTE_M1-6.svg,2024 Edition,24.0x23.5 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-7,FOREST ROUTE,Route Markers,FOREST_ROUTE_M1-7.svg,2024 Edition,18.0x18.0 in,size 18 in: conventional-road row for M1-7 in the 2004/2012 sheets (2024 table has no marker)
M1-8,STATE OR LOCAL BICYCLE ROUTE,Route Markers,STATE_OR_LOCAL_BICYCLE_ROUTE_M1-8.svg,2024 Edition,12.0x18.0 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-8a,STATE OR LOCAL BICYCLE ROUTE,Route Markers,STATE_OR_LOCAL_BICYCLE_ROUTE_M1-8a.svg,2024 Edition,12.0x18.0 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M1-8b,NON-NUMBERED BICYCLE ROUTE (2 LINES),Route Markers,NON_NUMBERED_BICYCLE_ROUTE_2_LINES_M1-8b.svg,2024 Edition,12.0x12.0 in,size row: first table row (no size value read) — check
M1-8c,NON-NUMBERED BICYCLE ROUTE (3 LINES),Route Markers,NON_NUMBERED_BICYCLE_ROUTE_3_LINES_M1-8c.svg,2024 Edition,12.0x12.0 in,size row: first table row (no size value read) — check
M1-9,U. S. BICYCLE ROUTE,Route Markers,U_S_BICYCLE_ROUTE_M1-9.svg,2024 Edition,12.0x16.0 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M10-1,NATIONAL SCENIC BYWAY,Route Markers,NATIONAL_SCENIC_BYWAY_M10-1.svg,2024 Edition,24.0x24.0 in,
M10-1aP,NATIONAL SCENIC BYWAY (PLAQUE),Route Markers,NATIONAL_SCENIC_BYWAY_PLAQUE_M10-1aP.svg,2024 Edition,24.0x12.0 in,
M10-2,BYWAY IDENTIFICATION,Route Markers,BYWAY_IDENTIFICATION_M10-2.svg,2024 Edition,24.0x24.0 in,
M10-2aP,BYWAY IDENTIFICATION (PLAQUE),Route Markers,BYWAY_IDENTIFICATION_PLAQUE_M10-2aP.svg,2024 Edition,24.0x12.0 in,
M10-3,STATE SCENIC BYWAY SYSTEM,Route Markers,STATE_SCENIC_BYWAY_SYSTEM_M10-3.svg,2024 Edition,24.0x24.0 in,
M10-3a,STATE SCENIC BYWAY - SIMPLE GRAPHIC AND BYWAY IDENTIFICATION,Route Markers,STATE_SCENIC_BYWAY_SIMPLE_GRAPHIC_AND_BYWAY_IDENTIFICATION_M10-3a.svg,2024 Edition,24.0x24.0 in,
M10-3bP,SCENIC BYWAY (PLAQUE),Route Markers,SCENIC_BYWAY_PLAQUE_M10-3bP.svg,2024 Edition,24.0x12.0 in,
M11-1,NATIONAL HISTORIC TRAIL - IDENTIFICATION,Route Markers,NATIONAL_HISTORIC_TRAIL_IDENTIFICATION_M11-1.svg,2024 Edition,24.0x24.0 in,
M11-1aP,NATIONAL HISTORIC TRAIL - HISTORIC ROUTE (PLAQUE),Route Markers,NATIONAL_HISTORIC_TRAIL_HISTORIC_ROUTE_PLAQUE_M11-1aP.svg,2024 Edition,24.0x12.0 in,
M11-1bP,NATIONAL HISTORIC TRAIL - CROSSING (PLAQUE),Route Markers,NATIONAL_HISTORIC_TRAIL_CROSSING_PLAQUE_M11-1bP.svg,2024 Edition,24.0x12.0 in,
M11-1cP,NATIONAL HISTORIC TRAIL - AUTO TOUR ROUTE (PLAQUE),Route Markers,NATIONAL_HISTORIC_TRAIL_AUTO_TOUR_ROUTE_PLAQUE_M11-1cP.svg,2024 Edition,24.0x12.0 in,
M11-1dP,NATIONAL HISTORIC TRAIL - DISTANCE (PLAQUE),Route Markers,NATIONAL_HISTORIC_TRAIL_DISTANCE_PLAQUE_M11-1dP.svg,2024 Edition,24.0x12.0 in,
M2-1,JUNCTION AUXILIARY,Route Markers,JUNCTION_AUXILIARY_BLUE_M2-1.svg,2004 Edition,21.0x14.6 in,scaled from the dimensioned M2-1 drawing (thumbnail)
M2-1P,JUNCTION (PLAQUE),Route Markers,JUNCTION_PLAQUE_BLUE_M2-1P.svg,2024 Edition,12.0x8.6 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 26 but a different drawing; suffixed"
M2-2,COMBINATION JUNCTION (2 ROUTE SIGNS),Route Markers,COMBINATION_JUNCTION_2_ROUTE_SIGNS_M2-2.svg,2024 Edition,39.7x31.7 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
M3-1,CARDINAL DIRECTION - NORTH,Route Markers,CARDINAL_DIRECTION_NORTH_BLUE_M3-1.svg,2012 Supplement,24.0x12.0 in,size 24 in: conventional-road row for M3-1 in the 2004/2012 sheets (2024 table has no marker)
M3-1P,CARDINAL DIRECTION - NORTH (PLAQUE),Route Markers,CARDINAL_DIRECTION_NORTH_PLAQUE_BLUE_M3-1P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 29 but a different drawing; suffixed"
M3-2,CARDINAL DIRECTION - EAST,Route Markers,CARDINAL_DIRECTION_EAST_BLUE_M3-2.svg,2012 Supplement,24.0x12.0 in,size 24 in: conventional-road row for M3-2 in the 2004/2012 sheets (2024 table has no marker)
M3-2P,CARDINAL DIRECTION - EAST (PLAQUE),Route Markers,CARDINAL_DIRECTION_EAST_PLAQUE_BLUE_M3-2P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 31 but a different drawing; suffixed"
M3-3,CARDINAL DIRECTION - SOUTH,Route Markers,CARDINAL_DIRECTION_SOUTH_BLUE_M3-3.svg,2012 Supplement,24.0x12.0 in,size 24 in: conventional-road row for M3-3 in the 2004/2012 sheets (2024 table has no marker)
M3-3P,CARDINAL DIRECTION - SOUTH (PLAQUE),Route Markers,CARDINAL_DIRECTION_SOUTH_PLAQUE_BLUE_M3-3P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 33 but a different drawing; suffixed"
M3-4,CARDINAL DIRECTION - WEST,Route Markers,CARDINAL_DIRECTION_WEST_BLUE_M3-4.svg,2012 Supplement,24.0x12.0 in,size 24 in: conventional-road row for M3-4 in the 2004/2012 sheets (2024 table has no marker)
M3-4P,CARDINAL DIRECTION - WEST (PLAQUE),Route Markers,CARDINAL_DIRECTION_WEST_PLAQUE_BLUE_M3-4P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 35 but a different drawing; suffixed"
M4-1,ALTERNATE AUXILIARY,Route Markers,ALTERNATE_AUXILIARY_M4-1.svg,2004 Edition,20.9x10.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
M4-10L,DETOUR (LEFT),Route Markers,DETOUR_LEFT_M4-10L.svg,2024 Edition,48.0x18.0 in,
M4-10R,DETOUR (RIGHT),Route Markers,DETOUR_RIGHT_M4-10R.svg,2024 Edition,48.0x18.0 in,
M4-11,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_M4-11.svg,2024 Edition,30.0x30.0 in,
M4-11L,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_2_M4-11L.svg,2024 Edition,30.0x30.0 in,same code and name as page 54 but a different drawing; suffixed
M4-11R,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_2_M4-11R.svg,2024 Edition,30.0x30.0 in,same code and name as page 54 but a different drawing; suffixed
M4-11a,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_M4-11a.svg,2024 Edition,30.0x30.0 in,
M4-11aL,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_2_M4-11aL.svg,2024 Edition,30.0x30.0 in,same code and name as page 57 but a different drawing; suffixed
M4-11aR,EMERGENCY ROUTE,Route Markers,EMERGENCY_ROUTE_2_M4-11aR.svg,2024 Edition,30.0x30.0 in,same code and name as page 57 but a different drawing; suffixed
M4-11bP,EMERGENCY ROUTE TO (PLAQUE),Route Markers,EMERGENCY_ROUTE_TO_PLAQUE_M4-11bP.svg,2024 Edition,30.0x18.0 in,
M4-11cP,EMERGENCY ROUTE TO (PLAQUE),Route Markers,EMERGENCY_ROUTE_TO_PLAQUE_M4-11cP.svg,2024 Edition,30.0x18.0 in,
M4-12,END EMERGENCY ROUTE,Route Markers,END_EMERGENCY_ROUTE_M4-12.svg,2024 Edition,24.0x18.0 in,
M4-13,TO AUXILIARY,Route Markers,TO_AUXILIARY_M4-13.svg,2004 Edition,28.5x6.0 in,no dimension of its own; drawn to the same size as M4-12 on the sheet — check
M4-14,BEGIN,Route Markers,BEGIN_M4-14.svg,2012 Supplement,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-14P,BEGIN (PLAQUE),Route Markers,BEGIN_PLAQUE_BLUE_M4-14P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 63 but a different drawing; suffixed"
M4-15,TOLL,Route Markers,TOLL_M4-15.svg,2012 Supplement,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-16,NO CASH,Route Markers,NO_CASH_M4-16.svg,2012 Supplement,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-17,TOLL COLLECTOR SYMBOL PANEL,Route Markers,TOLL_COLLECTOR_SYMBOL_PANEL_M4-17.svg,2024 Edition,48.0x48.0 in,
M4-18,EXACT CHANGE SYMBOL PANEL,Route Markers,EXACT_CHANGE_SYMBOL_PANEL_M4-18.svg,2024 Edition,48.0x48.0 in,
M4-1P,ALTERNATE (PLAQUE),Route Markers,ALTERNATE_PLAQUE_BLUE_M4-1P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 37 but a different drawing; suffixed"
M4-1a,ALTERNATE AUXILIARY,Route Markers,ALTERNATE_AUXILIARY_M4-1a.svg,2004 Edition,20.9x10.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
M4-1aP,ALTERNATE (PLAQUE),Route Markers,ALTERNATE_PLAQUE_BLUE_M4-1aP.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 39 but a different drawing; suffixed"
M4-2,BY-PASS AUXILIARY,Route Markers,BY_PASS_AUXILIARY_M4-2.svg,2004 Edition,20.9x10.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
M4-20,ELECTRONIC TOLL COLLECTION ACCOUNT ONLY,Route Markers,ELECTRONIC_TOLL_COLLECTION_ACCOUNT_ONLY_M4-20.svg,2012 Supplement,24.0x24.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-2P,BY-PASS (PLAQUE),Route Markers,BY_PASS_PLAQUE_BLUE_M4-2P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 41 but a different drawing; suffixed"
M4-3,BY-PASS AUXILIARY,Route Markers,BY_PASS_AUXILIARY_M4-3.svg,2004 Edition,20.9x10.1 in,no size table or width dimension read; drawn at page scale (1 pt = 0.1 in)
M4-3P,BUSINESS (PLAQUE),Route Markers,BUSINESS_PLAQUE_BLUE_M4-3P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 43 but a different drawing; suffixed"
M4-4,TRUCK AUXILIARY,Route Markers,TRUCK_AUXILIARY_M4-4.svg,2004 Edition,24.0x11.6 in,size 24 in: conventional-road row for M4-4 in the 2004/2012 sheets (2024 table has no marker)
M4-4P,TRUCK (PLAQUE),Route Markers,TRUCK_PLAQUE_M4-4P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-5,TO AUXILIARY,Route Markers,TO_AUXILIARY_BLUE_M4-5.svg,2004 Edition,24.0x11.4 in,size 24 in: conventional-road row for M4-5 in the 2004/2012 sheets (2024 table has no marker)
M4-5P,TO (PLAQUE),Route Markers,TO_PLAQUE_BLUE_M4-5P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 46 but a different drawing; suffixed"
M4-6,END AUXILIARY,Route Markers,END_AUXILIARY_M4-6.svg,2004 Edition,24.0x11.6 in,size 24 in: conventional-road row for M4-6 in the 2004/2012 sheets (2024 table has no marker)
M4-6P,ALTERNATE (PLAQUE),Route Markers,ALTERNATE_PLAQUE_M4-6P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-6P,END (PLAQUE),Route Markers,END_PLAQUE_M4-6P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-7,TEMPORARY,Route Markers,TEMPORARY_BLUE_M4-7.svg,2004 Edition,24.0x11.4 in,size 24 in: conventional-road row for M4-7 in the 2004/2012 sheets (2024 table has no marker)
M4-7P,TEMPORARY (PLAQUE),Route Markers,TEMPORARY_PLAQUE_BLUE_M4-7P.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 50 but a different drawing; suffixed"
M4-7a,TEMPORARY AUXILIARY,Route Markers,TEMPORARY_AUXILIARY_BLUE_M4-7a.svg,2004 Edition,24.0x11.4 in,size 24 in: conventional-road row for M4-7a in the 2004/2012 sheets (2024 table has no marker)
M4-7aP,TEMPORARY (PLAQUE),Route Markers,TEMPORARY_PLAQUE_BLUE_M4-7aP.svg,2024 Edition,24.0x12.0 in,"size 24 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check; same code and name as page 52 but a different drawing; suffixed"
M4-8,DETOUR,Route Markers,DETOUR_M4-8.svg,2012 Supplement,24.0x12.0 in,size 24 in: conventional-road row for M4-8 in the 2004/2012 sheets (2024 table has no marker)
M4-8P,DETOUR (PLAQUE),Route Markers,DETOUR_PLAQUE_M4-8P.svg,2024 Edition,12.0x6.0 in,"size 12 in: smallest table row (no conventional-road marker, no earlier edition of this code) — check"
M4-8a,END DETOUR,Route Markers,END_DETOUR_M4-8a.svg,2024 Edition,24.0x18.0 in,
M4-8b,END,Route Markers,END_DETOUR_M4-8b.svg,2004 Edition,24.0x18.0 in,scaled from the dimensioned M4-8b drawing (thumbnail)
M4-8bP,END (PLAQUE),Route Markers,END_PLAQUE_M4-8bP.svg,2024 Edition,24.0x12.0 in,
M4-9L,DETOUR,Route Markers,DETOUR_M4-9L.svg,2024 Edition,30.0x24.0 in,size 30 in: conventional-road row for M4-9 in the 2004/2012 sheets (2024 table has no marker)
M4-9R,DETOUR,Route Markers,DETOUR_M4-9R.svg,2024 Edition,30.0x24.0 in,size 30 in: conventional-road row for M4-9 in the 2004/2012 sheets (2024 table has no marker)
M4-9a,BICYCLE PEDESTRIAN DETOUR,Route Markers,BICYCLE_PEDESTRIAN_DETOUR_M4-9a.svg,2004 Edition,30.0x24.0 in,
M4-9aL,BICYCLIST/PEDESTRIAN DETOUR,Route Markers,BICYCLIST_PEDESTRIAN_DETOUR_M4-9aL.svg,2024 Edition,30.0x24.0 in,size 30 in: conventional-road row for M4-9a in the 2004/2012 sheets (2024 table has no marker)
M4-9aR,BICYCLIST/PEDESTRIAN DETOUR,Route Markers,BICYCLIST_PEDESTRIAN_DETOUR_M4-9aR.svg,2024 Edition,30.0x24.0 in,size 30 in: conventional-road row for M4-9a in the 2004/2012 sheets (2024 table has no marker)
M4-9b,PEDESTRIAN DETOUR,Route Markers,PEDESTRIAN_DETOUR_M4-9b.svg,2004 Edition,30.0x24.0 in,
