code,name,source
M4u,"véhicule dont la largeur, chargement compris, est supérieure au nombre indiqué",Wikipedia
M4v,"véhicule dont la hauteur, chargement compris, est supérieure au nombre indiqué",Wikipedia
M4w,véhicule tractant une remorque dont le poids total autorisé en charge dépasse,Wikipedia
M4x,"véhicule tractant une caravane ou une remorque de plus de et dont le poids total roulant, véhicule plus remorque, n'excède pas",Wikipedia
M4y,cavaliers,Wikipedia
M4z,véhicules bénéficiant du label « autopartage,Wikipedia
M5,panonceaux relatifs au stop,IISR 1e partie
M6,panonceaux complémentaires aux panneaux de stationnement et d'arrêts,IISR 1e partie
M6a,ils indiquent que le stationnement ou l'arrêt est gênant au sens de l'article R,IISR 4e partie
M6b,ils concernent le stationnement unilatéral à alternance semi-mensuelle et peuvent être associés au panneau B6a1 ou B6a2,IISR 4e partie
M6c,ils concernent le stationnement à durée limitée contrôlé par disque,IISR 4e partie
M6d,stationnement payant avec parcmètre,Wikipedia
M6e,stationnement payant avec parcmètre,Wikipedia
M6f,ils comportent des précisions concernant l'interdiction (cf,IISR 4e partie
M6g,ils comportent des indications diverses ne concernant pas les interdictions,IISR 4e partie
M6h,stationnement ou arrêt réservé aux véhicules utilisés par les personnes handicapées à mobilité réduite. Il comporte l'inscription,Wikipedia
M6i,stationnement réservé aux véhicules électriques pendant la durée de recharge de leurs accumulateurs,Wikipedia
M6j,ils signalent que le stationnement est réservé aux véhicules bénéficiant du label,IISR 4e partie
M6k1,arrêt ou le stationnement réservé aux véhicules des usagers pratiquant le covoiturage,Wikipedia
M6k2,ils signalent que le stationnement ou l'arrêt n'est autorisé que pour les véhicules des usagers pratiquant le covoiturage,IISR 4e partie
M7,panonceaux schémas,IISR 1e partie
M8,panonceaux d'application des prescriptions concernant les panneaux de stationnement et d'arrêts,IISR 1e partie
M8a,section après le panneau sur laquelle s'applique la prescription,Wikipedia
M8b,section avant le panneau sur laquelle s'applique la prescription,Wikipedia
M8c,section de part et d'autre du panneau sur laquelle s'applique la prescription,Wikipedia
M9,panonceaux d'indications diverses,IISR 1e partie
M9b,"au passage à niveau, la voie ferrée est électrifiée",Wikipedia
M9c,cédez le passage,Wikipedia
M9d,passage pour piétons surélevé,Wikipedia
M9e,emplacement d'arrêt d'urgence doté d'un poste d'appel d'urgence,Wikipedia
M9f,emplacement d'arrêt d'urgence doté d'un poste d'appel d'urgence et d'un moyen de lutte contre l'incendie,Wikipedia
M9j1,risque de heurt de véhicules lents en descente,Wikipedia
M9j2,risque de heurt de véhicules lents en montée,Wikipedia
SC2,Symbole,IISR 5e partie
SR2a,Rappel de l'espacement à respecter entre véhicules,"IISR 5e partie, article 101-3 heading"
SR2b,Rappel de l'espacement à respecter entre véhicules,"IISR 5e partie, article 101-3 heading"
SR2c,Rappel de l'espacement à respecter entre véhicules,"IISR 5e partie, article 101-3 heading"
SR3,Annonce d'une zone où la vitesse est contrôlée,"IISR 5e partie, article 101-4 heading"
SR4,Zone sous vidéoprotection,"IISR 5e partie, article 101-5 heading"
SR50,Message de sécurité routière,"IISR 5e partie, article 101-6 heading"
