code,name,source
B34,Fin d'interdiction de dépasser,"IISR 4e partie, article 68-3 heading"
B34a,Fin d'interdiction de dépasser,"IISR 4e partie, article 68-3 heading"
B35,Fin d'interdiction de l'usage des signaux sonores,"IISR 4e partie, article 68-4 heading"
B39,Fin d'interdiction de l'usage des signaux sonores,"IISR 4e partie, article 68-4 heading"
B3a,Interdiction de dépasser,"IISR 4e partie, article 52 heading"
B4,"Douane, arrêt","IISR 4e partie, article 53 heading"
B40,Fin de piste cyclable obligatoire,IISR 4e partie
B41,Fin de chemin obligatoire pour piétons,IISR 4e partie
B42,Fin de chemin obligatoire pour cavaliers,IISR 4e partie
B43,Fin de vitesse minimale obligatoire,IISR 4e partie
B44,Fin de l'obligation de l'usage de chaînes à neige,IISR 4e partie
B45,Fin de voie réservée aux véhicules de transports en commun,IISR 4e partie
B49,Autre fin d'obligation,IISR 4e partie
B50a,Sortie de zone à stationnement interdit,IISR 4e partie
B50b,Sortie de zone à stationnement unilatéral à alternance semi-mensuelle,IISR 4e partie
B50c,Sortie de zone à stationnement de durée limitée avec contrôle par disque,IISR 4e partie
B50d,Sortie de zone à stationnement payant,IISR 4e partie
B50e,Sortie de zone à stationnement unilatéral à alternance semi-mensuelle et à durée limitée avec contrôle par disque,IISR 4e partie
B51,Sortie de zone à vitesse limitée à 30 km/h,IISR 4e partie
B52,Zone « 30,"IISR 4e partie, article 63-1 heading"
B53,Sortie de zone de rencontre,IISR 4e partie
B54,"S'il existe dans une rue une limitation de vitesse différente de la réglementation générale dans l'agglomération, la vitesse correspondante doit être signalée à tous les usagers abordant cette rue par",IISR 4e partie
B55,Sortie d'aire piétonne,IISR 4e partie
B56,Zone de circulation restreinte,Wikipedia (page title)
B57,Zone de circulation restreinte,Wikipedia (page title)
B58,Zone d'obligation d'équipements en période hivernale,Wikipedia (page title)
B59,Zone d'obligation d'équipements en période hivernale,Wikipedia (page title)
B5a,"Gendarmerie, police ou péage, arrêt","IISR 4e partie, article 54 heading"
B5b,Panneaux de prescription,IISR 1e partie
B5c,"Gendarmerie, police ou péage, arrêt","IISR 4e partie, article 54 heading"
B6a,Stationnement interdit ou réglementé,"IISR 4e partie, article 55 heading"
B6a1,Stationnement interdit ou réglementé,"IISR 4e partie, article 55 heading"
B6a2,Stationnement interdit ou réglementé,"IISR 4e partie, article 55 heading"
B6a3,Stationnement interdit ou réglementé,"IISR 4e partie, article 55 heading"
B6b1,Dispositions complémentaires concernant le stationnement,"IISR 4e partie, article 55-1 heading"
B6b2,Dispositions complémentaires concernant le stationnement,"IISR 4e partie, article 55-1 heading"
B6b3,Dispositions complémentaires concernant le stationnement,"IISR 4e partie, article 55-1 heading"
B6b4,Dispositions complémentaires concernant le stationnement,"IISR 4e partie, article 55-1 heading"
B6d,Arrêt et stationnement interdits ou réglementés,"IISR 4e partie, article 55-3 heading"
B7a,Accès interdit aux véhicules à moteur sauf les cyclomoteurs,"IISR 4e partie, article 56 heading"
B7b,Accès interdit à tous véhicules à moteur,"IISR 4e partie, article 56-1 heading"
B8,Accès interdit aux véhicules affectés au transport de marchandises,"IISR 4e partie, article 57 heading"
B9a,Accès interdit aux piétons,"IISR 4e partie, article 58 heading"
B9b,Accès interdit aux cycles,"IISR 4e partie, article 58-1 heading"
B9c,Accès interdit aux véhicules à traction animale,"IISR 4e partie, article 58-2 heading"
B9d,Accès interdit aux véhicules agricoles à moteur,"IISR 4e partie, article 58-3 heading"
B9e,Accès interdit aux charrettes à bras,"IISR 4e partie, article 58-4 heading"
B9f,Accès interdit aux véhicules de transport en commun,"IISR 4e partie, article 58-5 heading"
B9g,Accès interdit aux cyclomoteurs,"IISR 4e partie, article 58-6 heading"
B9h,Accès interdit aux cyclomoteurs,"IISR 4e partie, article 58-6 heading"
B9i,Accès interdit aux véhicules tractant une caravane ou une remorque,"IISR 4e partie, article 58-8 heading"
C107,Route à accès réglementé,Wikipedia
C108,Fin de route à accès réglementé,Wikipedia
C111,Indication d'un tunnel,Wikipedia (page title)
C112,Indication d'un tunnel,Wikipedia (page title)
C113,Piste ou bande cyclable conseillée et réservée aux cycles à deux ou trois roues,Wikipedia
C114,Fin de piste ou de bande cyclable conseillée,Wikipedia
C115,Voie verte,Wikipedia (page title)
C116,Voie verte,Wikipedia (page title)
C117,b21b,Wikipedia
C12,Circulation à sens unique,"IISR 5e partie, article 71 heading"
C13a,Impasse,"IISR 5e partie, article 71-1 heading"
C13b,Impasse,"IISR 5e partie, article 71-1 heading"
C13c,Impasse,"IISR 5e partie, article 71-1 heading"
C13d,Impasse,"IISR 5e partie, article 71-1 heading"
C14,Praticabilité de la route,"IISR 5e partie, article 71-2 heading"
C18,Priorité par rapport à la circulation venant en sens inverse,"IISR 5e partie, article 72 heading"
C1a,Lieux aménagés pour le stationnement,"IISR 5e partie, article 70 heading"
C1b,ancien,Wikipedia
C1c,Lieu aménagé pour le stationnement payant,Wikipedia
C207,Début d'une section d'autoroute,Wikipedia
C208,Fin d'une section d'autoroute,Wikipedia
C20a,Traversées de chaussée,"IISR 5e partie, article 72-1 heading"
C20b,Traversées de chaussée,"IISR 5e partie, article 72-1 heading"
C20c,Traversées de chaussée,"IISR 5e partie, article 72-1 heading"
C23,Stationnement réglementé pour les caravanes et les autocaravanes,Wikipedia
C24a,Conditions particulières de circulation,"IISR 5e partie, article 72-3 heading"
C24b,Conditions particulières de circulation,"IISR 5e partie, article 72-3 heading"
C24c,Indication de conditions de circulation sur une route embranchée,Wikipedia (page title)
C25a,Limitations générales de vitesse,"IISR 5e partie, article 72-4 heading"
C25b,Limitations générales de vitesse,"IISR 5e partie, article 72-4 heading"
C26a,Voie de détresse,"IISR 5e partie, article 72-5 heading"
C26b,Voie de détresse,"IISR 5e partie, article 72-5 heading"
C27,Aménagements de sécurité,"IISR 5e partie, article 72-6 heading"
C28,Réduction du nombre de voies de circulation,"IISR 5e partie, article 72-7 heading"
C29a,Créneau de dépassement,"IISR 5e partie, article 72-8 heading"
C29b,Créneau de dépassement,"IISR 5e partie, article 72-8 heading"
C29c,Créneau de dépassement,"IISR 5e partie, article 72-8 heading"
C3,Risques d'incendie,"IISR 5e partie, article 70-1 heading"
C30,Indication d'un créneau de dépassement,Wikipedia (page title)
C4a,Vitesse conseillée,"IISR 5e partie, article 70-2 heading"
C4b,Vitesse conseillée,"IISR 5e partie, article 70-2 heading"
C5,Station de taxis,Wikipedia
C50,Indications diverses,"IISR 5e partie, article 73 heading"
C51a,Sections de route à vitesse régulée,"IISR 5e partie, article 73-1 heading"
C51b,Sections de route à vitesse régulée,"IISR 5e partie, article 73-1 heading"
C6,Station d'arrêt d'autobus,"IISR 5e partie, article 70-4 heading"
C60,Présignalisation du début d'une section routière ou autoroutière à péage,Wikipedia
C61,Présignalisation d'une gare de péage sur autoroute,Wikipedia
C62,Retrait de tickets de péage,"IISR 5e partie, article 74 heading"
C63,Présignalisation du paiement du péage sur autoroute,Wikipedia
C64,Modes de paiement,"IISR 5e partie, article 74-1 heading"
C64a,Indication du mode de paiement sur une route à péage,Wikipedia (page title)
C64b,Indication du mode de paiement sur une route à péage,Wikipedia (page title)
C64c1,Indication du mode de paiement sur une route à péage,Wikipedia (page title)
C64c2,Indication du mode de paiement sur une route à péage,Wikipedia (page title)
C64d,Indication du mode de paiement sur une route à péage,Wikipedia (page title)
C65a,Présignalisation d'une aire de service ou de repos sur autoroute,Wikipedia
