category,id,rule,code,motsam,title,updated,heading,dimensions,colours,files,local
General advisory,757,None,None,None,Toll 'Terms & Conditions' sign,25 January 2017,,a 5535 b 2295 r 300 c 60 d 225 e 240 f 300 Legend font Mod Series E 300 Symbol 'TOLL' shield 585,Background: blue (R) Border: yellow (R) Legend: yellow (R),https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Terms-Conditions.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Terms-Conditions-nolabels.gif,Original EPS/General advisory/TOLL-Toll-Terms-Conditions.eps | Original EPS/General advisory/TOLL-Toll-Terms-Conditions-nolabels.gif
General advisory,750,None,None,None,Toll Road Ahead,25 January 2017,,a 4200 b 4280 r 300 c 60 d 2100 e 50 f 2010 g 225 h 240 i 150 Legend font Mod Series E 300 Legend font 'km AHEAD' Mod Series E 225 Numerals Mod Series E 300 Symbol 'TOLL' shield 585 Symbol 'Twin Coasts' 572,Background top panel: blue (R) Background bottom panel: green (R) Border: yellow (R) Legend top panel: yellow (R) Legend bottom panel: white (R),https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Road-Ahead.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Road-Ahead-nolabels.gif,Original EPS/General advisory/TOLL-Toll-Road-Ahead.eps | Original EPS/General advisory/TOLL-Toll-Road-Ahead-nolabels.gif
General advisory,752,None,None,None,Toll Tariff sign,25 January 2017,,a 3300 b 3458 r 300 c 60 d 225 e 300 Legend font Mod Series E 300 Numerals and $ symbol Mod Series E 300 Symbol 'TOLL' shield 572,Background: blue (R) Border: yellow (R) Legend: yellow (R),https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Tariff-Sign.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/TOLL-Toll-Tariff-Sign-nolabels.gif,Original EPS/General advisory/TOLL-Toll-Tariff-Sign.eps | Original EPS/General advisory/TOLL-Toll-Tariff-Sign-nolabels.gif
Motorist service,713,A21-2,MA4L,MS-1.4,"Advance, services adjacent to road, four services on left",8 December 2016,,"a 1750 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet, Waste Disposal and Public Parking) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA4L-4-Services-XX-m-on-Left.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA4L-4-Services-XX-m-on-Left-nolabels.gif,Original EPS/Motorist service/MA4L-4-Services-XX-m-on-Left.eps | Original EPS/Motorist service/MA4L-4-Services-XX-m-on-Left-nolabels.gif
Motorist service,714,A21-2,MA4R,MS-1.4,"Advance, services adjacent to road, four services on right",8 December 2016,,"a 1750 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet, Waste Disposal and Public Parking) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA4R-4-Services-XX-m-on-Right.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA4R-4-Services-XX-m-on-Right-nolabels.gif,Original EPS/Motorist service/MA4R-4-Services-XX-m-on-Right.eps | Original EPS/Motorist service/MA4R-4-Services-XX-m-on-Right-nolabels.gif
Motorist service,707,A21-1,MA1L,MS-1.1,"Advance, services adjacent to road, one service on left",8 December 2016,,a 640 b 1000 r 50 c 25 d 60 e 75 Symbol 300x300 (Rest Area) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA1L-Service-XX-m-on-Left.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA1L-Service-XX-m-on-Left-nolabels.gif,Original EPS/Motorist service/MA1L-Service-XX-m-on-Left.eps | Original EPS/Motorist service/MA1L-Service-XX-m-on-Left-nolabels.gif
Motorist service,708,A21-1,MA1R,MS-1.1,"Advance, services adjacent to road, one service on right",8 December 2016,,a 640 b 1000 r 50 c 25 d 60 e 75 Symbol 300x300 (Rest Area) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA1R-Service-XX-m-on-Right.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA1R-Service-XX-m-on-Right-nol.gif,Original EPS/Motorist service/MA1R-Service-XX-m-on-Right.eps
Motorist service,711,A21-2,MA3L,MS-1.3,"Advance, services adjacent to road, three services on left",8 December 2016,,"a 1370 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet and Waste Disposal) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA3L-3-Services-XX-m-on-Left.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA3L-3-Services-XX-m-on-Left-nolabels.gif,Original EPS/Motorist service/MA3L-3-Services-XX-m-on-Left.eps | Original EPS/Motorist service/MA3L-3-Services-XX-m-on-Left-nolabels.gif
Motorist service,712,A21-2,MA3R,MS-1.3,"Advance, services adjacent to road, three services on right",8 December 2016,,"a 1370 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area, Public Toilet and Waste Disposal) 'm' Transport D Med x=75 Legend and Numeral 120D",Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA3R-3-Services-XX-m-on-Right.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA3R-3-Services-XX-m-on-Right-nolabels.gif,Original EPS/Motorist service/MA3R-3-Services-XX-m-on-Right.eps | Original EPS/Motorist service/MA3R-3-Services-XX-m-on-Right-nolabels.gif
Motorist service,709,A21-2,MA2L,MS-1.2,"Advance, services adjacent to road, two services on left",8 December 2016,,a 950 Rectangle width to fit number of symbols b 830 r 50 c 25 d 60 e 100 f 75 Symbols 300x300 (Rest Area and Public Toilet) 'm' Transport D Med x=75 Legend and Numeral 120D,Background: blue Border: white Legend: white,https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA2L-2-Services-XX-m-on-Left.eps | https://www.nzta.govt.nz/assets/resources/traffic-control-devices-manual/sign-specifications/images/MA2L-2-Services-XX-m-on-Left-nolabels.gif,Original EPS/Motorist service/MA2L-2-Services-XX-m-on-Left.eps | Original EPS/Motorist service/MA2L-2-Services-XX-m-on-Left-nolabels.gif
