code,name,family,file,size,notes,source
MR-GC-18D,MR-GC-18D - Bicycle route marker supplementary plate,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-18d.dwg
MR-GC-18E,MR-GC-18E - Bicycle route marker supplementary plate,Guide Signs,,,no drawing found after removing the sheet furniture,Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-18e.dwg
MR-GC-19,MR-GC-19 - Local bicycle route number marker,intervene/Guide Signs,MR_GC_19_LOCAL_BICYCLE_ROUTE_NUMBER_MARKER_MR-GC-19.svg,200x250 mm,"size from the register (200x250 mm); no scale on the sheet; 3 closed letter outline(s) filled solid; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (E, N): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-19.dwg
MR-GC-20,MR-GC-20 - Bicycle route marker for use on local bicycle routes only,intervene/Guide Signs,MR_GC_20_BICYCLE_ROUTE_MARKER_FOR_USE_ON_LOCAL_BICYCLE_ROUTES_ONLY_MR-GC-20.svg,600x200 mm,"size from the register (600x200 mm); no scale on the sheet; 3 closed letter outline(s) filled solid; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN; legend is CAD text on the sheet (N, E): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-20.dwg
MR-GC-2,MR-GC-2 - All bicycles,Guide Signs,MR_GC_2_ALL_BICYCLES_MR-GC-2.svg,450x600 mm,"size from the register (450x600 mm); no scale on the sheet; 8 closed letter outline(s) filled solid; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-2.dwg
MR-GC-14,MR-GC-14 - Share the road,intervene/Guide Signs,MR_GC_14_SHARE_THE_ROAD_MR-GC-14.svg,720x1200 mm,"size from the sheet scale 1:10; 2 closed letter outline(s) filled solid; register size 450x750 mm differs from the drawing (720 x 1200 mm) — check; colours from the sheet's note: legend WHITE, background BLUE, border WHITE; legend is CAD text on the sheet (TITLE AMENDED., DRAWING NOTES & TITLE BLOCK UP, D.LANDMARK   18.1.11, 720 x 1200 B SIZE ADDED. COLOU): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-14.dwg
MR-GC-14,MR-GC-14 - Share the road,intervene/Guide Signs,MR_GC_14_SHARE_THE_ROAD_VAR2_MR-GC-14.svg,450x750 mm,"size from the sheet scale 1:10; 2 closed letter outline(s) filled solid; colours from the sheet's note: legend WHITE, background BLUE, border WHITE; legend is CAD text on the sheet (TITLE AMENDED., DRAWING NOTES & TITLE BLOCK UP, D.LANDMARK   18.1.11, 720 x 1200 B SIZE ADDED. COLOU): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-14.dwg
MR-GC-14,MR-GC-14 - Share the road,intervene/Guide Signs,MR_GC_14_SHARE_THE_ROAD_VAR3_MR-GC-14.svg,148x148 mm,"size from the sheet scale 1:10; 2 closed letter outline(s) filled solid; register size 450x750 mm differs from the drawing (148 x 148 mm) — check; colours from the sheet's note: legend WHITE, background BLUE, border WHITE; legend is CAD text on the sheet (TITLE AMENDED., DRAWING NOTES & TITLE BLOCK UP, D.LANDMARK   18.1.11, 720 x 1200 B SIZE ADDED. COLOU): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-14.dwg
MR-GC-14,MR-GC-14 - Share the road,intervene/Guide Signs,MR_GC_14_SHARE_THE_ROAD_VAR4_MR-GC-14.svg,390x51 mm,"size from the sheet scale 1:10; 2 closed letter outline(s) filled solid; register size 450x750 mm differs from the drawing (390 x 51 mm) — check; colours from the sheet's note: legend WHITE, background BLUE, border WHITE; legend is CAD text on the sheet (TITLE AMENDED., DRAWING NOTES & TITLE BLOCK UP, D.LANDMARK   18.1.11, 720 x 1200 B SIZE ADDED. COLOU): needs setting in the AS 1744 face by hand",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-14.dwg
MR-GC-10,MR-GC-10(L) - Horizontal arrow (use with R8-1B),Guide Signs,MR_GC_10_L_HORIZONTAL_ARROW_USE_WITH_R8_1B_MR-GC-10.svg,450x150 mm,"size from the register (450x150 mm); no scale on the sheet; no colour note on the sheet: MR-GC series default assumed — check colours: legend WHITE, background GREEN",Original PDFs/Guide Signs/Cycling Series MR-GC/mr-gc-10l.dwg
