schedule,part,item,diagram,title,url,local
02,02,24,p544x2,,https://assets.publishing.service.gov.uk/media/5ef074e2d3bf7f6c0289732b/traffic-sign-drawing-schedule-02-part-02-item-24-p544x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-24-p544x2.pdf
02,02,25,p545,,https://assets.publishing.service.gov.uk/media/5ef0751a86650c114029faed/traffic-sign-drawing-schedule-02-part-02-item-25-p545.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-25-p545.pdf
02,02,26,p950,,https://assets.publishing.service.gov.uk/media/5ef09a4ce90e0741fe9c2aa3/traffic-sign-drawing-schedule-02-part-02-item-26-p950.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-26-p950.pdf
02,02,27,p548,,https://assets.publishing.service.gov.uk/media/5ef0759bd3bf7f6c0bca7e7f/traffic-sign-drawing-schedule-02-part-02-item-27-p548.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-27-p548.pdf
02,02,28,p549,,https://assets.publishing.service.gov.uk/media/5ef078c9d3bf7f6c09036cf9/traffic-sign-drawing-schedule-02-part-02-item-28-p549.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-28-p549.pdf
02,02,29,p550,,https://assets.publishing.service.gov.uk/media/5ef078f6e90e0741f836c544/traffic-sign-drawing-schedule-02-part-02-item-29-p550.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-29-p550.pdf
02,02,30,p550x1,,https://assets.publishing.service.gov.uk/media/5ef0792ae90e0741fe9c2a9a/traffic-sign-drawing-schedule-02-part-02-item-30-p550x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-30-p550x1.pdf
02,02,31,p550x2,,https://assets.publishing.service.gov.uk/media/5ef07ef9d3bf7f6c0dd8bb9f/traffic-sign-drawing-schedule-02-part-02-item-31-p550x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-31-p550x2.pdf
02,02,32,p551,,https://assets.publishing.service.gov.uk/media/5ef08763d3bf7f6c07695f8c/traffic-sign-drawing-schedule-02-part-02-item-32-p551.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-32-p551.pdf
02,02,33,p551x2,,https://assets.publishing.service.gov.uk/media/5ef087bbd3bf7f6c06ec3936/traffic-sign-drawing-schedule-02-part-02-item-33-p551x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-33-p551x2.pdf
02,02,34,p553x1,,https://assets.publishing.service.gov.uk/media/5ef08b43d3bf7f6c0bca7e8a/traffic-sign-drawing-schedule-02-part-02-item-34-p553x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-34-p553x1.pdf
02,02,35,p552,,https://assets.publishing.service.gov.uk/media/5ef08b7ce90e0741f1606276/traffic-sign-drawing-schedule-02-part-02-item-35-p552.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-35-p552.pdf
02,02,36,p554b,,https://assets.publishing.service.gov.uk/media/5ef08bb5e90e0741fe9c2aa2/traffic-sign-drawing-schedule-02-part-02-item-36-p554b.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-36-p554b.pdf
02,02,37,p554c,,https://assets.publishing.service.gov.uk/media/5ef08cd786650c113681109b/traffic-sign-drawing-schedule-02-part-02-item-37-p554c.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-37-p554c.pdf
02,02,38,p554,,https://assets.publishing.service.gov.uk/media/5ef08d08e90e0741f3bd4fce/traffic-sign-drawing-schedule-02-part-02-item-38-p554.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-38-p554.pdf
02,02,39,p554x1,,https://assets.publishing.service.gov.uk/media/5ef08d38d3bf7f6c09036d03/traffic-sign-drawing-schedule-02-part-02-item-39-p554x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-39-p554x1.pdf
02,02,40,p555,,https://assets.publishing.service.gov.uk/media/5ef08d86e90e0741f836c551/traffic-sign-drawing-schedule-02-part-02-item-40-p555.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-40-p555.pdf
02,02,41,p555x1,,https://assets.publishing.service.gov.uk/media/5ef08d96e90e0741efe1fa43/traffic-sign-drawing-schedule-02-part-02-item-41-p555x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-41-p555x1.pdf
02,02,42,p556x1,,https://assets.publishing.service.gov.uk/media/5ef08e88d3bf7f6c0806a353/traffic-sign-drawing-schedule-02-part-02-item-42-p556x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-42-p556x1.pdf
02,02,43,p557x1,,https://assets.publishing.service.gov.uk/media/5ef08eb086650c11343b8915/traffic-sign-drawing-schedule-02-part-02-item-43-p557x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-43-p557x1.pdf
02,02,44,p559,,https://assets.publishing.service.gov.uk/media/5ef08ef586650c114029faf4/traffic-sign-drawing-schedule-02-part-02-item-44-p559.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-44-p559.pdf
02,02,45,p581,,https://assets.publishing.service.gov.uk/media/5ef08f18e90e0741f09300ea/traffic-sign-drawing-schedule-02-part-02-item-45-p581.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-45-p581.pdf
02,02,46,p558,,https://assets.publishing.service.gov.uk/media/5ef08f4a86650c114029faf5/traffic-sign-drawing-schedule-02-part-02-item-46-p558.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-46-p558.pdf
02,02,47,p558x1,,https://assets.publishing.service.gov.uk/media/5ef09045e90e0741f91db123/traffic-sign-drawing-schedule-02-part-02-item-47-p558x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-47-p558x1.pdf
02,02,48,p582,,https://assets.publishing.service.gov.uk/media/5ef090d886650c11385d5104/traffic-sign-drawing-schedule-02-part-02-item-48-p582.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-48-p582.pdf
02,02,49,p583,,https://assets.publishing.service.gov.uk/media/5ef09108e90e0741f26ce687/traffic-sign-drawing-schedule-02-part-02-item-49-p583.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-49-p583.pdf
02,02,50,p584__1_,,https://assets.publishing.service.gov.uk/media/5ef0912fd3bf7f6c04a03cd7/traffic-sign-drawing-schedule-02-part-02-item-50-p584__1_.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-50-p584__1_.pdf
02,02,51,p770,,https://assets.publishing.service.gov.uk/media/5ef092da86650c114029faf7/traffic-sign-drawing-schedule-02-part-02-item-51-p770.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-51-p770.pdf
02,02,52,p771,,https://assets.publishing.service.gov.uk/media/5ef092e786650c113b90e4a2/traffic-sign-drawing-schedule-02-part-02-item-52-p771.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-52-p771.pdf
02,02,53,p772,,https://assets.publishing.service.gov.uk/media/5ef09323d3bf7f6c0ec9775c/traffic-sign-drawing-schedule-02-part-02-item-53-p772.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-53-p772.pdf
02,02,54,p779,,https://assets.publishing.service.gov.uk/media/5ef0943186650c113c8cb35a/traffic-sign-drawing-schedule-02-part-02-item-54-p779.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-54-p779.pdf
02,02,55,p782,,https://assets.publishing.service.gov.uk/media/5ef094cee90e0741ffc849c4/traffic-sign-drawing-schedule-02-part-02-item-55-p782.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-55-p782.pdf
02,02,56,p562,,https://assets.publishing.service.gov.uk/media/5ef0945ee90e0741ffc849c3/traffic-sign-drawing-schedule-02-part-02-item-56-p562.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-02-item-56-p562.pdf
02,03,01,p511,,https://assets.publishing.service.gov.uk/media/5ef09565d3bf7f6c113302c4/traffic-sign-drawing-schedule-02-part-03-item-01-p511.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-03-item-01-p511.pdf
02,03,02,p513x2,,https://assets.publishing.service.gov.uk/media/5ef0954d86650c113d4892b0/traffic-sign-drawing-schedule-02-part-03-item-02-p513x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-03-item-02-p513x2.pdf
02,03,03,p817x2,,https://assets.publishing.service.gov.uk/media/5ef095c8d3bf7f6c053a288d/traffic-sign-drawing-schedule-02-part-03-item-03-p817x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-03-item-03-p817x2.pdf
02,03,04,p513x1a,,https://assets.publishing.service.gov.uk/media/5ef095f2e90e0741efe1fa47/traffic-sign-drawing-schedule-02-part-03-item-04-p513x1a.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-03-item-04-p513x1a.pdf
02,04,02,p530a,,https://assets.publishing.service.gov.uk/media/5ef09647e90e0741f26ce68d/traffic-sign-drawing-schedule-02-part-04-item-02-p530a.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-04-item-02-p530a.pdf
02,04,03,p531x1a,,https://assets.publishing.service.gov.uk/media/5ef0967c86650c1143dc1c2f/traffic-sign-drawing-schedule-02-part-04-item-03-p531x1a.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-04-item-03-p531x1a.pdf
02,04,05,p629x2a,,https://assets.publishing.service.gov.uk/media/5ef096e286650c11385d510c/traffic-sign-drawing-schedule-02-part-04-item-05-p629x2a.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-04-item-05-p629x2a.pdf
02,05,01,p530x1,,https://assets.publishing.service.gov.uk/media/5ef0970ed3bf7f6c0bca7e90/traffic-sign-drawing-schedule-02-part-05-item-01-p530x1.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-05-item-01-p530x1.pdf
02,05,02,p531x2,,https://assets.publishing.service.gov.uk/media/5ef0975286650c113fd1017d/traffic-sign-drawing-schedule-02-part-05-item-02-p531x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-05-item-02-p531x2.pdf
02,05,04,p530x2,,https://assets.publishing.service.gov.uk/media/5ef0978b86650c1142619055/traffic-sign-drawing-schedule-02-part-05-item-04-p530x2.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-05-item-04-p530x2.pdf
02,05,05,p572,,https://assets.publishing.service.gov.uk/media/5ef097bde90e0741f09300ed/traffic-sign-drawing-schedule-02-part-05-item-05-p572.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-05-item-05-p572.pdf
02,06,01,p501,,https://assets.publishing.service.gov.uk/media/5ef097ec86650c113b90e4a4/traffic-sign-drawing-schedule-02-part-06-item-01-p501.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-06-item-01-p501.pdf
02,06,03,p515,,https://assets.publishing.service.gov.uk/media/5ef09823d3bf7f6c101208ff/traffic-sign-drawing-schedule-02-part-06-item-03-p515.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-06-item-03-p515.pdf
02,06,04,p774,,https://assets.publishing.service.gov.uk/media/5ef0985ce90e0741f738e257/traffic-sign-drawing-schedule-02-part-06-item-04-p774.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-06-item-04-p774.pdf
02,06,06,p789,,https://assets.publishing.service.gov.uk/media/5ef0987dd3bf7f6c03ed25b5/traffic-sign-drawing-schedule-02-part-06-item-06-p789.pdf,Original PDFs/Schedule 02/traffic-sign-drawing-schedule-02-part-06-item-06-p789.pdf
03,02,01,p606,,https://assets.publishing.service.gov.uk/media/5ed8bb38d3bf7f45f9a51456/traffic-sign-drawing-schedule-03-part-02-item-01-p606.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-01-p606.pdf
03,02,02,p609,,https://assets.publishing.service.gov.uk/media/5ed8bb4986650c76a4ca43ea/traffic-sign-drawing-schedule-03-part-02-item-02-p609.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-02-p609.pdf
03,02,03,p610,,https://assets.publishing.service.gov.uk/media/5ed8bb68d3bf7f4606f1e189/traffic-sign-drawing-schedule-03-part-02-item-03-p610.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-03-p610.pdf
03,02,04,p642,,https://assets.publishing.service.gov.uk/media/5ed8bb6fd3bf7f460894eb71/traffic-sign-drawing-schedule-03-part-02-item-04-p642.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-04-p642.pdf
03,02,05,p632,,https://assets.publishing.service.gov.uk/media/5ed8bb7fd3bf7f4601e576ff/traffic-sign-drawing-schedule-03-part-02-item-05-p632.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-05-p632.pdf
03,02,06,p614,,https://assets.publishing.service.gov.uk/media/5ed8bb90e90e0754cc92fb99/traffic-sign-drawing-schedule-03-part-02-item-06-p614.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-06-p614.pdf
03,02,07,and-item-08-p612-and-613,,https://assets.publishing.service.gov.uk/media/5ed8bb9ce90e0754d7f1898b/traffic-sign-drawing-schedule-03-part-02-item-07-and-item-08-p612-and-613.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-07-and-item-08-p612-and-613.pdf
03,02,09,p615,,https://assets.publishing.service.gov.uk/media/5ed8bbaf86650c76b3d74c6f/traffic-sign-drawing-schedule-03-part-02-item-09-p615.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-09-p615.pdf
03,02,10,p616,,https://assets.publishing.service.gov.uk/media/5ed8bbb986650c76a69cebc7/traffic-sign-drawing-schedule-03-part-02-item-10-p616.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-10-p616.pdf
03,02,11,p617,,https://assets.publishing.service.gov.uk/media/5ed8bbcd86650c76a7c9af1c/traffic-sign-drawing-schedule-03-part-02-item-11-p617.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-11-p617.pdf
03,02,12,p619,,https://assets.publishing.service.gov.uk/media/5ed8bbe1d3bf7f45ff9c2848/traffic-sign-drawing-schedule-03-part-02-item-12-p619.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-12-p619.pdf
03,02,13,p622x1a,,https://assets.publishing.service.gov.uk/media/5ed8bc1cd3bf7f46049120e5/traffic-sign-drawing-schedule-03-part-02-item-13-p622x1a.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-13-p622x1a.pdf
03,02,14,p622x2,,https://assets.publishing.service.gov.uk/media/5ef30d6bd3bf7f713740f808/traffic-sign-drawing-schedule-03-part-02-item-14-p622x2.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-14-p622x2.pdf
03,02,15,p622x4,,https://assets.publishing.service.gov.uk/media/5ed8bcc6e90e0754d2437cef/traffic-sign-drawing-schedule-03-part-02-item-15-p622x4.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-15-p622x4.pdf
03,02,16,p622x8,,https://assets.publishing.service.gov.uk/media/5ed8bcf2d3bf7f4607b90b2a/traffic-sign-drawing-schedule-03-part-02-item-16-p622x8.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-16-p622x8.pdf
03,02,17,p952,,https://assets.publishing.service.gov.uk/media/5ed8bcf286650c76b02b2dc9/traffic-sign-drawing-schedule-03-part-02-item-17-p952.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-17-p952.pdf
03,02,18,p619x1,,https://assets.publishing.service.gov.uk/media/5ed8bcf986650c76acac3883/traffic-sign-drawing-schedule-03-part-02-item-18-p619x1.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-18-p619x1.pdf
03,02,19,p622x7,,https://assets.publishing.service.gov.uk/media/5ed8bd08d3bf7f45fa098ade/traffic-sign-drawing-schedule-03-part-02-item-19-p622x7.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-19-p622x7.pdf
03,02,20,p619x2,,https://assets.publishing.service.gov.uk/media/5ed8bd48d3bf7f45fa098adf/traffic-sign-drawing-schedule-03-part-02-item-20-p619x2.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-20-p619x2.pdf
03,02,21,p951,,https://assets.publishing.service.gov.uk/media/5ed8bd54d3bf7f45fb32149c/traffic-sign-drawing-schedule-03-part-02-item-21-p951.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-21-p951.pdf
03,02,22,p625x1,,https://assets.publishing.service.gov.uk/media/5ed8bd6f86650c76aaa5d63d/traffic-sign-drawing-schedule-03-part-02-item-22-p625x1.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-22-p625x1.pdf
03,02,23,p622x5,,https://assets.publishing.service.gov.uk/media/5ed8bd7ae90e0754d5088b30/traffic-sign-drawing-schedule-03-part-02-item-23-p622x5.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-23-p622x5.pdf
03,02,24,p622x6,,https://assets.publishing.service.gov.uk/media/5ed8bd8486650c76af069aca/traffic-sign-drawing-schedule-03-part-02-item-24-p622x6.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-24-p622x6.pdf
03,02,25,p629x1,,https://assets.publishing.service.gov.uk/media/5ed8bd8fe90e0754cf07cba9/traffic-sign-drawing-schedule-03-part-02-item-25-p629x1.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-25-p629x1.pdf
03,02,26,p629a,,https://assets.publishing.service.gov.uk/media/5ed8bd9be90e0754d3f5ef1e/traffic-sign-drawing-schedule-03-part-02-item-26-p629a.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-26-p629a.pdf
03,02,27,p629x2a,,https://assets.publishing.service.gov.uk/media/5ed8bdcad3bf7f46049120e6/traffic-sign-drawing-schedule-03-part-02-item-27-p629x2a.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-27-p629x2a.pdf
03,02,28,p955,,https://assets.publishing.service.gov.uk/media/5ed8bdd6d3bf7f4606f1e18c/traffic-sign-drawing-schedule-03-part-02-item-28-p955.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-28-p955.pdf
03,02,29,p956,,https://assets.publishing.service.gov.uk/media/5ed8bde5d3bf7f45f9a51458/traffic-sign-drawing-schedule-03-part-02-item-29-p956.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-29-p956.pdf
03,02,30,p956x1,,https://assets.publishing.service.gov.uk/media/5ed8bdf2e90e0754d8fb3a4d/traffic-sign-drawing-schedule-03-part-02-item-30-p956x1.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-30-p956x1.pdf
03,02,31,p956x2,,https://assets.publishing.service.gov.uk/media/6448fdd6529eda00123b04c5/traffic-sign-drawing-schedule-03-part-02-item-31-p956x2.pdf,Original PDFs/Schedule 03/traffic-sign-drawing-schedule-03-part-02-item-31-p956x2.pdf
