code,name,family,file,size,source,notes
D63C,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D63C.svg,670x496 mm,Panneaux_D/Signaux_D/D63C.svg,drawn 134.0x99.3 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D63D,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D63D.svg,618x573 mm,Panneaux_D/Signaux_D/D63D.svg,drawn 123.7x114.6 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D64,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D64.svg,267x140 mm,Panneaux_D/Signaux_D/D64.svg,drawn 53.4x28.0 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D69A,Signalisation des itinéraires de substitution,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_DE_SUBSTITUTION_D69A.svg,707x178 mm,Panneaux_D/Signaux_D/D69A.svg,"drawn 141.4x35.6 mm at 1:5; name from IISR 5e partie, article 84-4 heading"
D69b_ex1,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_D69b_ex1.svg,707x178 mm,Panneaux_D/Signaux_D/D69b_ex1.svg,"drawn 141.4x35.6 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
D69b_ex2,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_D69b_ex2.svg,707x322 mm,Panneaux_D/Signaux_D/D69b_ex2.svg,"drawn 141.5x64.3 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
D71,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D71.svg,661x322 mm,Panneaux_D/Signaux_D/D71.svg,drawn 132.1x64.3 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D72,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D72.svg,601x746 mm,Panneaux_D/Signaux_D/D72.svg,drawn 120.1x149.3 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D73,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D73.svg,302x330 mm,Panneaux_D/Signaux_D/D73.svg,drawn 60.3x65.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D74a,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D74a.svg,267x140 mm,Panneaux_D/Signaux_D/D74a.svg,drawn 53.4x27.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D74b,Panneau de direction,D Direction,D Direction/PANNEAU_DE_DIRECTION_D74b.svg,155x140 mm,Panneaux_D/Signaux_D/D74b.svg,drawn 31.0x27.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
D79a,Signalisation des itinéraires de substitution,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_DE_SUBSTITUTION_D79a.svg,401x246 mm,Panneaux_D/Signaux_D/D79a.svg,"drawn 80.2x49.2 mm at 1:5; name from IISR 5e partie, article 84-4 heading"
D79b,Signalisation des itinéraires « Bis,D Direction,D Direction/SIGNALISATION_DES_ITINERAIRES_BIS_D79b.svg,778x449 mm,Panneaux_D/Signaux_D/D79b.svg,"drawn 155.7x89.9 mm at 1:5; name from IISR 5e partie, article 84-5 heading"
DA31A,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31A.svg,742x433 mm,Panneaux_D/Signaux_Da/DA31A.svg,drawn 148.4x86.6 mm at 1:5; name from Wikipedia
DA31B,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31B.svg,725x689 mm,Panneaux_D/Signaux_Da/DA31B.svg,drawn 144.9x137.7 mm at 1:5; 1 stroked path(s) outlined with Inkscape; 1 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia
DA31C,sortie ou bifurcation routière ou autoroutière,D Direction,D Direction/SORTIE_OU_BIFURCATION_ROUTIERE_OU_AUTOROUTIERE_DA31C.svg,826x592 mm,Panneaux_D/Signaux_Da/DA31C.svg,drawn 165.1x118.4 mm at 1:5; name from Wikipedia
