code,name,family,file,size,source,notes
E52b_ex1,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E52b_ex1.svg,406x604 mm,Panneaux_E_EB/Signaux_E/E52b_ex1.svg,drawn 81.2x120.9 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E52b_ex1_dc,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E52b_ex1_dc.svg,406x604 mm,Panneaux_E_EB/Signaux_E/E52b_ex1_dc.svg,drawn 81.2x120.9 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E52b_ex2,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E52b_ex2.svg,394x328 mm,Panneaux_E_EB/Signaux_E/E52b_ex2.svg,"live text in the L1/L4 road alphabet, font not available: 'altitude' / '823m'; drawn 78.8x65.6 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
E52c_dc,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E52c_dc.svg,251x251 mm,Panneaux_E_EB/Signaux_E/E52c_dc.svg,drawn 50.1x50.1 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E52c_ex1,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E52c_ex1.svg,404x248 mm,Panneaux_E_EB/Signaux_E/E52c_ex1.svg,"dimensioned drawing of the E52c plaque (cotes, notes), not a sign face; drawn 80.8x49.6 mm at 1:5; 23 stroked path(s) outlined with Inkscape; drawing annotation text dropped (Arial, sans-serif): '250**' / 'L2-' / '50' / '***' / '50' / '25' / '*' / '=' / '=' / '17' / '0' / '* D=droit - G=gauche' / '(sur chaussées séparées uniquement)' / '80' / '**ou 350' / '25' / '*** caractčres L1 centrés'; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
E52c_ex2,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E52c_ex2.svg,574x295 mm,Panneaux_E_EB/Signaux_E/E52c_ex2.svg,"dimensioned drawing of the E52c plaque (cotes, notes), not a sign face; drawn 114.8x59.0 mm at 1:5; 20 stroked path(s) outlined with Inkscape; drawing annotation text dropped (Arial, sans-serif): '17' / '0' / '* D=droit - G=gauche' / '(sur chaussées séparées uniquement)' / '80' / '350' / 'L2-' / '50' / '=' / '=' / 'L1-' / '10' / '0*' / '=' / '='; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)"
E53a_ex1,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E53a_ex1.svg,178x328 mm,Panneaux_E_EB/Signaux_E/E53a_ex1.svg,drawn 35.6x65.6 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53a_ex2,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E53a_ex2.svg,394x328 mm,Panneaux_E_EB/Signaux_E/E53a_ex2.svg,front and side faces of the borne drawn side by side (the single-face drawing is E53a_ex1); drawn 78.8x65.6 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53b_ex1,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E53b_ex1.svg,179x328 mm,Panneaux_E_EB/Signaux_E/E53b_ex1.svg,drawn 35.8x65.6 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53b_ex2,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E53b_ex2.svg,396x328 mm,Panneaux_E_EB/Signaux_E/E53b_ex2.svg,front and side faces of the borne drawn side by side (the single-face drawing is E53b_ex1); drawn 79.1x65.6 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53c_dc,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E53c_dc.svg,251x251 mm,Panneaux_E_EB/Signaux_E/E53c_dc.svg,drawn 50.1x50.1 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53c_ex1,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E53c_ex1.svg,178x149 mm,Panneaux_E_EB/Signaux_E/E53c_ex1.svg,drawn 35.5x29.8 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E53c_ex2,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E53c_ex2.svg,125x135 mm,Panneaux_E_EB/Signaux_E/E53c_ex2.svg,drawn 25.0x26.9 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E54a_ex,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E54a_ex.svg,393x329 mm,Panneaux_E_EB/Signaux_E/E54a_ex.svg,front and side faces of the borne drawn side by side; drawn 78.7x65.8 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E54b_ex1,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E54b_ex1.svg,179x330 mm,Panneaux_E_EB/Signaux_E/E54b_ex1.svg,drawn 35.7x66.0 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E54b_ex2,Panneau de localisation,E EB Localisation,intervene/E EB Localisation/PANNEAU_DE_LOCALISATION_E54b_ex2.svg,397x330 mm,Panneaux_E_EB/Signaux_E/E54b_ex2.svg,front and side faces of the borne drawn side by side (the single-face drawing is E54b_ex1); drawn 79.4x65.9 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E54c_ex,Panneau de localisation,E EB Localisation,E EB Localisation/PANNEAU_DE_LOCALISATION_E54c_ex.svg,178x151 mm,Panneaux_E_EB/Signaux_E/E54c_ex.svg,drawn 35.6x30.2 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
E_46_dc,Signalisation des rocades,E EB Localisation,E EB Localisation/SIGNALISATION_DES_ROCADES_E_46_dc.svg,125x62 mm,Panneaux_E_EB/Signaux_E/E_46_dc.svg,"drawn 25.0x12.5 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from IISR 5e partie, article 84-1 heading"
EB10,Panneaux de localisation d'entrée et de sortie d'agglomération de,E EB Localisation,intervene/E EB Localisation/PANNEAUX_DE_LOCALISATION_D_ENTREE_ET_DE_SORTIE_D_EB10.svg,641x1242 mm,Panneaux_E_EB/Signaux_EB/EB10.svg,"three sign assemblies (EB10 with cartouche and E31/E32 plates) on one sheet; drawn 128.2x248.3 mm at 1:5; name from IISR 5e partie, article 99-2 heading"
EB20,Panneaux de localisation d'entrée et de sortie d'agglomération de,E EB Localisation,E EB Localisation/PANNEAUX_DE_LOCALISATION_D_ENTREE_ET_DE_SORTIE_D_EB20.svg,633x236 mm,Panneaux_E_EB/Signaux_EB/EB20.svg,"drawn 126.6x47.1 mm at 1:5; name from IISR 5e partie, article 99-2 heading"
G1,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1.svg,575x375 mm,Panneaux_G_balises_J/Signaux_G/G1.svg,drawn 115.0x75.0 mm at 1:5; name from IISR 2e partie
G1_bis,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1_bis.svg,575x616 mm,Panneaux_G_balises_J/Signaux_G/G1_bis.svg,drawn 115.0x123.2 mm at 1:5; 3 stroked path(s) outlined with Inkscape; name from IISR 2e partie
G1A,Passage à niveau à plusieurs voies (art,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_PLUSIEURS_VOIES_ART_G1A.svg,575x475 mm,Panneaux_G_balises_J/Signaux_G/G1A.svg,drawn 115.0x95.0 mm at 1:5; name from IISR 2e partie
G1a_bis,Passage à niveau à plusieurs voies (art,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_PLUSIEURS_VOIES_ART_G1a_bis.svg,575x716 mm,Panneaux_G_balises_J/Signaux_G/G1a_bis.svg,drawn 115.0x143.2 mm at 1:5; 3 stroked path(s) outlined with Inkscape; name from IISR 2e partie
G1B,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1B.svg,375x575 mm,Panneaux_G_balises_J/Signaux_G/G1B.svg,drawn 75.0x115.0 mm at 1:5; name from IISR 2e partie
G1b_bis,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1b_bis.svg,375x816 mm,Panneaux_G_balises_J/Signaux_G/G1b_bis.svg,drawn 75.0x163.2 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from IISR 2e partie
G1C,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1C.svg,375x775 mm,Panneaux_G_balises_J/Signaux_G/G1C.svg,drawn 75.0x155.0 mm at 1:5; name from IISR 2e partie
G1c_bis,Passage à niveau à voie unique,G Passages a niveau,G Passages a niveau/PASSAGE_A_NIVEAU_A_VOIE_UNIQUE_G1c_bis.svg,375x1016 mm,Panneaux_G_balises_J/Signaux_G/G1c_bis.svg,drawn 75.0x203.3 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from IISR 2e partie
G2,Signalisation automatique avec un feu rouge clignotant et munie de demi-barrières à fonctionnement automatique interceptant la partie droite de la chaussée. Le fonctionnement du feu rouge clignotant annonce l'arrivée des trains et précède de peu la fermeture des demi-barrières55,G Passages a niveau,intervene/G Passages a niveau/SIGNALISATION_AUTOMATIQUE_AVEC_UN_FEU_ROUGE_CLIGNOTANT_ET_G2.svg,908x728 mm,Panneaux_G_balises_J/Signaux_G/G2.svg,sign drawn with its associated M9z panonceau at 1/10 and a caption: two scales on one sheet; drawn 181.7x145.5 mm at 1:5; 12 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); drawing annotation text dropped (AvantGarde Bk BT): 'panonceau associé de type M9z (échelle 1/10)'; name from Wikipedia
G3,Signalisation des passages à niveau avec voies électrifiées lorsque la hauteur des fils de contact est inférieure à six mètres{{sfn|id=SignalPniveauG|texte=Sécu,G Passages a niveau,intervene/G Passages a niveau/SIGNALISATION_DES_PASSAGES_A_NIVEAU_AVEC_VOIES_ELECTRIFIEES_G3.svg,908x747 mm,Panneaux_G_balises_J/Signaux_G/G3.svg,portique drawn with its associated M9 panonceau at 1/10 and a caption: two scales on one sheet; drawn 181.6x149.3 mm at 1:5; 51 stroked path(s) outlined with Inkscape; 6 unfilled closed outline(s) filled white (drawn on a white page); drawing annotation text dropped (AvantGarde Bk BT): 'panonceau associé de type M9 (échelle 1/10)'; name from Wikipedia
H11,indication par message littéral,H Information touristique,H Information touristique/INDICATION_PAR_MESSAGE_LITTERAL_H11.svg,865x292 mm,Panneaux_H/H11.svg,drawn 173.0x58.3 mm at 1:5; name from Wikipedia
H12_ex,indication par message graphique,H Information touristique,H Information touristique/INDICATION_PAR_MESSAGE_GRAPHIQUE_H12_ex.svg,1124x979 mm,Panneaux_H/H12_ex.svg,drawn 224.7x195.9 mm at 1:5; 1 stroked path(s) outlined with Inkscape; 1 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia
H12_ex_dc,indication par message graphique,H Information touristique,H Information touristique/INDICATION_PAR_MESSAGE_GRAPHIQUE_H12_ex_dc.svg,1124x791 mm,Panneaux_H/H12_ex_dc.svg,drawn 224.7x158.1 mm at 1:5; 1 stroked path(s) outlined with Inkscape; 1 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia
H13,indication par message littéral et graphique,H Information touristique,H Information touristique/INDICATION_PAR_MESSAGE_LITTERAL_ET_GRAPHIQUE_H13.svg,885x757 mm,Panneaux_H/H13.svg,drawn 177.0x151.4 mm at 1:5; name from Wikipedia
H21,localisation d'un itinéraire touristique,H Information touristique,H Information touristique/LOCALISATION_D_UN_ITINERAIRE_TOURISTIQUE_H21.svg,633x184 mm,Panneaux_H/H21.svg,drawn 126.6x36.9 mm at 1:5; name from Wikipedia
H22,présignalisation d'un itinéraire touristique,H Information touristique,H Information touristique/PRESIGNALISATION_D_UN_ITINERAIRE_TOURISTIQUE_H22.svg,783x400 mm,Panneaux_H/H22.svg,drawn 156.5x80.1 mm at 1:5; name from Wikipedia
H23,présignalisation d'un itinéraire touristique,H Information touristique,H Information touristique/PRESIGNALISATION_D_UN_ITINERAIRE_TOURISTIQUE_H23.svg,384x184 mm,Panneaux_H/H23.svg,drawn 76.8x36.9 mm at 1:5; name from Wikipedia
H24,fin d'un itinéraire touristique,H Information touristique,H Information touristique/FIN_D_UN_ITINERAIRE_TOURISTIQUE_H24.svg,501x184 mm,Panneaux_H/H24.svg,drawn 100.1x36.7 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia
H31,"indication d'une curiosité ou d'un lieu touristique, complétée par la direction à suivre",H Information touristique,H Information touristique/INDICATION_D_UNE_CURIOSITE_OU_D_UN_LIEU_TOURISTIQUE_H31.svg,783x321 mm,Panneaux_H/H31.svg,drawn 156.5x64.3 mm at 1:5; 17 stroked path(s) outlined with Inkscape; name from Wikipedia
H32,"indication d'une curiosité ou d'un lieu touristique, complétée par la direction à suivre ainsi que par un message graphique",H Information touristique,H Information touristique/INDICATION_D_UNE_CURIOSITE_OU_D_UN_LIEU_TOURISTIQUE_H32.svg,932x832 mm,Panneaux_H/H32.svg,drawn 186.4x166.5 mm at 1:5; name from Wikipedia
H33,indication d'une curiosité ou d'un lieu touristique complétée par un message graphique,H Information touristique,H Information touristique/INDICATION_D_UNE_CURIOSITE_OU_D_UN_LIEU_TOURISTIQUE_H33.svg,783x555 mm,Panneaux_H/H33.svg,drawn 156.6x110.9 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia
ID30,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID30.svg,752x752 mm,Ideogrammes_ID/ID30.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID31,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID31.svg,752x752 mm,Ideogrammes_ID/ID31.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID32,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID32.svg,752x752 mm,Ideogrammes_ID/ID32.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID33a,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID33a.svg,752x752 mm,Ideogrammes_ID/ID33a.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID33b,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID33b.svg,752x752 mm,Ideogrammes_ID/ID33b.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID34a,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID34a.svg,752x752 mm,Ideogrammes_ID/ID34a.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID34b,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID34b.svg,752x752 mm,Ideogrammes_ID/ID34b.svg,drawn 150.5x150.4 mm at 1:5; 10 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID34b_ex1,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID34b_ex1.svg,752x752 mm,Ideogrammes_ID/ID34b_ex1.svg,drawn 150.5x150.4 mm at 1:5; 10 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID34b_ex2,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID34b_ex2.svg,752x752 mm,Ideogrammes_ID/ID34b_ex2.svg,drawn 150.5x150.4 mm at 1:5; 10 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID35,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID35.svg,750x750 mm,Ideogrammes_ID/ID35.svg,drawn 150.0x149.9 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID36,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID36.svg,575x577 mm,Ideogrammes_ID/ID36.svg,drawn 115.1x115.3 mm at 1:5; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID37,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID37.svg,752x752 mm,Ideogrammes_ID/ID37.svg,drawn 150.5x150.4 mm at 1:5; 7 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID38,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID38.svg,752x752 mm,Ideogrammes_ID/ID38.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID4,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID4.svg,752x752 mm,Ideogrammes_ID/ID4.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID5a,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID5a.svg,752x752 mm,Ideogrammes_ID/ID5a.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID5b,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID5b.svg,752x752 mm,Ideogrammes_ID/ID5b.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID6,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID6.svg,752x752 mm,Ideogrammes_ID/ID6.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID7,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID7.svg,752x752 mm,Ideogrammes_ID/ID7.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID8,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID8.svg,752x752 mm,Ideogrammes_ID/ID8.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
ID9,Ideogramme,ID Ideogrammes,ID Ideogrammes/IDEOGRAMME_ID9.svg,752x752 mm,Ideogrammes_ID/ID9.svg,drawn 150.5x150.4 mm at 1:5; 4 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
J1,Balise de virage,J Balises,J Balises/BALISE_DE_VIRAGE_J1.svg,496x700 mm,Panneaux_G_balises_J/Balises_J/J1.svg,drawn 99.2x140.1 mm at 1:5; 6 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J10-d,Balise pour passage à niveau,J Balises,J Balises/BALISE_POUR_PASSAGE_A_NIVEAU_J10-d.svg,924x500 mm,Panneaux_G_balises_J/Balises_J/J10-d.svg,drawn 184.7x100.0 mm at 1:5; 4 stroked path(s) outlined with Inkscape; 3 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J10-g,Balise pour passage à niveau,J Balises,J Balises/BALISE_POUR_PASSAGE_A_NIVEAU_J10-g.svg,924x500 mm,Panneaux_G_balises_J/Balises_J/J10-g.svg,drawn 184.7x100.0 mm at 1:5; 4 stroked path(s) outlined with Inkscape; 3 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J11,Balise routière de renforcement permanent d'un marquage,J Balises,J Balises/BALISE_ROUTIERE_DE_RENFORCEMENT_PERMANENT_D_UN_MARQUAGE_J11.svg,435x400 mm,Panneaux_G_balises_J/Balises_J/J11.svg,drawn 87.0x80.0 mm at 1:5; 3 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J12,Balise routière de renforcement d'un marquage en divergent,J Balises,J Balises/BALISE_ROUTIERE_DE_RENFORCEMENT_D_UN_MARQUAGE_EN_DIVERGENT_J12.svg,435x400 mm,Panneaux_G_balises_J/Balises_J/J12.svg,drawn 87.0x80.0 mm at 1:5; 3 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J13,Balise routière de signalisation d'obstacle,J Balises,J Balises/BALISE_ROUTIERE_DE_SIGNALISATION_D_OBSTACLE_J13.svg,295x624 mm,Panneaux_G_balises_J/Balises_J/J13.svg,drawn 59.0x124.8 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia (page title)
J14a,Balise de musoir,J Balises,J Balises/BALISE_DE_MUSOIR_J14a.svg,1000x768 mm,Panneaux_G_balises_J/Balises_J/J14a.svg,drawn 200.1x153.7 mm at 1:5; gradient fill flattened to its most saturated stop #009035; 1 stroked path(s) outlined with Inkscape; name from Wikipedia (page title)
J14b,Balise de musoir,J Balises,J Balises/BALISE_DE_MUSOIR_J14b.svg,948x367 mm,Panneaux_G_balises_J/Balises_J/J14b.svg,drawn 189.6x73.3 mm at 1:5; name from Wikipedia (page title)
J15a,Balise,J Balises,J Balises/BALISE_J15a.svg,536x290 mm,Panneaux_G_balises_J/Balises_J/J15a.svg,drawn 107.1x58.1 mm at 1:5; 5 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
J15b,Balise,J Balises,J Balises/BALISE_J15b.svg,855x377 mm,Panneaux_G_balises_J/Balises_J/J15b.svg,drawn 170.9x75.3 mm at 1:5; 14 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
J16,Balise,J Balises,J Balises/BALISE_J16.svg,174x376 mm,Panneaux_G_balises_J/Balises_J/J16.svg,drawn 34.8x75.2 mm at 1:5; 321 stroked path(s) outlined with Inkscape; name is the series' generic title (no sign title found in the IISR text or the Wikipedia lists)
J1_bis,Balise de virage,J Balises,J Balises/BALISE_DE_VIRAGE_J1_bis.svg,496x700 mm,Panneaux_G_balises_J/Balises_J/J1_bis.svg,drawn 99.2x140.1 mm at 1:5; 4 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J3,Balise d'intersection,J Balises,J Balises/BALISE_D_INTERSECTION_J3.svg,734x700 mm,Panneaux_G_balises_J/Balises_J/J3.svg,drawn 146.9x140.1 mm at 1:5; 5 stroked path(s) outlined with Inkscape; 1 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J4-d,Balise de virage à chevrons,J Balises,J Balises/BALISE_DE_VIRAGE_A_CHEVRONS_J4-d.svg,600x200 mm,Panneaux_G_balises_J/Balises_J/J4-d.svg,drawn 120.0x40.0 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia (page title)
J4-g,Balise de virage à chevrons,J Balises,J Balises/BALISE_DE_VIRAGE_A_CHEVRONS_J4-g.svg,600x200 mm,Panneaux_G_balises_J/Balises_J/J4-g.svg,drawn 120.0x40.0 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia (page title)
J4ex2,Balise de virage à chevrons,J Balises,J Balises/BALISE_DE_VIRAGE_A_CHEVRONS_J4ex2.svg,202x202 mm,Panneaux_G_balises_J/Balises_J/J4ex2.svg,drawn 40.4x40.4 mm at 1:5; name from Wikipedia (page title)
J5,Balise de signalisation de tête d'îlot,J Balises,J Balises/BALISE_DE_SIGNALISATION_DE_TETE_D_ILOT_J5.svg,700x700 mm,Panneaux_G_balises_J/Balises_J/J5.svg,drawn 140.0x140.0 mm at 1:5; name from Wikipedia (page title)
J6,Délinéateur,J Balises,J Balises/DELINEATEUR_J6.svg,862x540 mm,Panneaux_G_balises_J/Balises_J/J6.svg,drawn 172.4x108.1 mm at 1:5; 4 stroked path(s) outlined with Inkscape; 2 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
J7,Manche à air,J Balises,J Balises/MANCHE_A_AIR_J7.svg,918x727 mm,Panneaux_G_balises_J/Balises_J/J7.svg,drawn 183.6x145.4 mm at 1:5; 2 stroked path(s) outlined with Inkscape; 1 unfilled closed outline(s) filled white (drawn on a white page); name from Wikipedia (page title)
AK14,Autres dangers,K Temporaire,K Temporaire/AUTRES_DANGERS_AK14.svg,950x824 mm,panneaux_K/Signaux_AK/AK14.svg,drawn 190.1x164.7 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from Wikipedia
AK17,Annonce de signaux lumineux,K Temporaire,K Temporaire/ANNONCE_DE_SIGNAUX_LUMINEUX_AK17.svg,950x824 mm,panneaux_K/Signaux_AK/AK17.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
AK2,"Cassis, dos d'âne",K Temporaire,K Temporaire/CASSIS_DOS_D_ANE_AK2.svg,950x824 mm,panneaux_K/Signaux_AK/AK2.svg,drawn 190.1x164.7 mm at 1:5; name from Wikipedia
AK22,Projection de gravillons,K Temporaire,K Temporaire/PROJECTION_DE_GRAVILLONS_AK22.svg,950x824 mm,panneaux_K/Signaux_AK/AK22.svg,drawn 190.1x164.7 mm at 1:5; 1 stroked path(s) outlined with Inkscape; name from Wikipedia
AK3,Chaussée rétrécie,K Temporaire,K Temporaire/CHAUSSEE_RETRECIE_AK3.svg,950x824 mm,panneaux_K/Signaux_AK/AK3.svg,drawn 190.1x164.7 mm at 1:5; 2 stroked path(s) outlined with Inkscape; name from Wikipedia
AK30,Bouchon,K Temporaire,K Temporaire/BOUCHON_AK30.svg,950x827 mm,panneaux_K/Signaux_AK/AK30.svg,drawn 190.1x165.4 mm at 1:5; name from Wikipedia
AK31,Accident,K Temporaire,K Temporaire/ACCIDENT_AK31.svg,950x827 mm,panneaux_K/Signaux_AK/AK31.svg,drawn 190.1x165.4 mm at 1:5; name from Wikipedia
