code,name,family,file,size,notes,source
W5-18,Road Ends,Warning Signs,ROAD_ENDS_W5-18.svg,1200x1200 mm,size from the sheet's 1200 x 1200 figure; triangulated CAD export unioned; drawn at 3 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w5-18.pdf
W5-16,Grid,Warning Signs,GRID_W5-16.svg,1200x1201 mm,size from the sheet's 1200 x 1200 figure; triangulated CAD export unioned; drawn at 3 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w5-16.pdf
W5-22,Trucks Crossing Or Entering (Symbolic),Warning Signs,TRUCKS_CROSSING_OR_ENTERING_SYMBOLIC_W5-22.svg,1200x1200 mm,size from the sheet's 1200 x 1200 figure; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w5-22.pdf
W5-22,Trucks Crossing Or Entering (Symbolic),Warning Signs,TRUCKS_CROSSING_OR_ENTERING_SYMBOLIC_VAR2_W5-22.svg,1200x1201 mm,size from the sheet's 1200 x 1200 figure; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w5-22.pdf
W5-231n,Queued Traffic (Symbolic),Warning Signs,QUEUED_TRAFFIC_SYMBOLIC_W5-231n.svg,900x901 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/w5-231n.pdf
W5-231n,Queued Traffic (Symbolic),Warning Signs,QUEUED_TRAFFIC_SYMBOLIC_VAR2_W5-231n.svg,900x900 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/w5-231n.pdf
W5-231n,Queued Traffic (Symbolic),Warning Signs,QUEUED_TRAFFIC_SYMBOLIC_VAR3_W5-231n.svg,900x901 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/w5-231n.pdf
W5-218n,Watch For Logging Trucks,Warning Signs,WATCH_FOR_LOGGING_TRUCKS_W5-218n.svg,900x900 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/w5-218n.pdf
W5-219n,Snow Plough Turning,Warning Signs,SNOW_PLOUGH_TURNING_W5-219n.svg,900x900 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; NSW-only code,Original PDFs/w5-219n.pdf
W5-232n,Buses Turning,Warning Signs,BUSES_TURNING_W5-232n.svg,1200x1200 mm,size from the sheet's 1200 x 1200 figure; triangulated CAD export unioned; drawn at 3 sizes on the sheet; largest kept; NSW-only code,Original PDFs/w5-232n.pdf
W5-217n,Bus Entering,Warning Signs,BUS_ENTERING_W5-217n.svg,900x901 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; NSW-only code,Original PDFs/w5-217n.pdf
W5-222n,Hump,Warning Signs,HUMP_W5-222n.svg,900x901 mm,size from the sheet's 900 x 900 figure; triangulated CAD export unioned; drawn at 3 sizes on the sheet; largest kept; NSW-only code,Original PDFs/w5-222n.pdf
W1-7(L),Hairpin Bend (Left Symbolic),Warning Signs,HAIRPIN_BEND_LEFT_SYMBOLIC_W1-7(L).svg,865x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-7_l.pdf
W1-7(L),Hairpin Bend (Left Symbolic),Warning Signs,HAIRPIN_BEND_LEFT_SYMBOLIC_VAR2_W1-7(L).svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-7_l.pdf
W1-5(L),Winding Road (Left Symbolic),Warning Signs,WINDING_ROAD_LEFT_SYMBOLIC_W1-5(L).svg,863x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-5_l.pdf
W1-5(L),Winding Road (Left Symbolic),Warning Signs,WINDING_ROAD_LEFT_SYMBOLIC_VAR2_W1-5(L).svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-5_l.pdf
W1-3(R),Curve (Right Symbolic),Warning Signs,CURVE_RIGHT_SYMBOLIC_W1-3(R).svg,865x828 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-3_r.pdf
W1-3(R),Curve (Right Symbolic),Warning Signs,CURVE_RIGHT_SYMBOLIC_VAR2_W1-3(R).svg,518x550 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-3_r.pdf
W1-3(L),Curve (Left symbolic),Warning Signs,CURVE_LEFT_SYMBOLIC_W1-3(L).svg,879x893 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w1-3_l.pdf
W1-3(L),Curve (Left symbolic),Warning Signs,CURVE_LEFT_SYMBOLIC_VAR2_W1-3(L).svg,742x668 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w1-3_l.pdf
W1-3(L),Curve (Left symbolic),Warning Signs,CURVE_LEFT_SYMBOLIC_VAR3_W1-3(L).svg,672x608 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w1-3_l.pdf
W2-11(L),Successive Side Road Intersections on a Curve (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_LEFT_SYMBOLIC_W2-11(L).svg,864x827 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-11_l.pdf
W2-11(L),Successive Side Road Intersections on a Curve (Left Symbolic),Warning Signs,SUCCESSIVE_SIDE_ROAD_INTERSECTIONS_ON_A_CURVE_LEFT_SYMBOLIC_VAR2_W2-11(L).svg,517x517 mm,no size found on the sheet; drawn at 1:10 — check; triangulated CAD export unioned; drawn at 2 sizes on the sheet; largest kept; code also in the national AS 1743 set,Original PDFs/w2-11_l.pdf
W2-10(R),Side Road Intersection On a Curve - Inside (Right Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_RIGHT_SYMBOLIC_W2-10(R).svg,945x880 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-10_r.pdf
W2-10(R),Side Road Intersection On a Curve - Inside (Right Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_RIGHT_SYMBOLIC_VAR2_W2-10(R).svg,714x721 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-10_r.pdf
W2-10(R),Side Road Intersection On a Curve - Inside (Right Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_RIGHT_SYMBOLIC_VAR3_W2-10(R).svg,649x706 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-10_r.pdf
W2-10(R),Side Road Intersection On a Curve - Inside (Right Symbolic),Warning Signs,SIDE_ROAD_INTERSECTION_ON_A_CURVE_INSIDE_RIGHT_SYMBOLIC_VAR4_W2-10(R).svg,521x565 mm,no size found on the sheet; drawn at 1:10 — check; background assumed to be a white rectangle (outline drawn as loose strokes) — check; triangulated CAD export unioned; code also in the national AS 1743 set,Original PDFs/w2-10_r.pdf
